"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.714","0.000","-271.200","13992.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.092","0.000","-357.900","13999.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.352","0.010","-231.300","13993.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.908","0.018","-336.900","13999.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.150","0.023","-280.200","13996.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.602","0.028","-325.200","13998.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.844","0.033","-283.200","13998.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.186","0.037","-234.900","13996.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.269","0.041","-146.400","13998.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.506","0.045","-159.900","13995.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.661","0.049","-198.600","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.761","0.052","-175.200","13995.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.738","0.056","-220.200","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.724","0.059","-118.500","13994.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.939","0.063","-165.600","14002.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.989","0.066","-124.500","13987.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.122","0.069","-150.000","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.155","0.073","-90.600","13900.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.314","0.077","-164.100","13844.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.284","0.082","-96.900","13780.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.397","0.087","-154.200","13716.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.353","0.091","-97.500","13651.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.526","0.096","-180.600","13578.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.561","0.100","-186.900","13511.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.580","0.104","-150.600","13429.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.599","0.108","-149.100","13356.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.654","0.111","-135.600","13269.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.645","0.114","-185.700","13197.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.505","0.117","-89.700","13118.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.602","0.120","-178.500","13048.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.365","0.123","-101.100","12983.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.406","0.125","-146.400","12919.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.185","0.128","-111.900","12869.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.129","0.130","-102.300","12811.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.977","0.132","-125.100","12768.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.810","0.134","-69.600","12715.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.747","0.136","-132.000","12669.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.443","0.138","-51.300","12622.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.464","0.140","-114.000","12567.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.135","0.142","-77.400","12521.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.085","0.144","-59.100","12461.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.909","0.146","-104.700","12408.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.708","0.148","-39.600","12345.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.651","0.150","-93.000","12280.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.386","0.152","-48.900","12219.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.354","0.154","-75.300","12144.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.110","0.156","-69.000","12081.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.017","0.158","-48.300","12007.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.888","0.160","-87.300","11934.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.700","0.162","-42.000","11867.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.635","0.164","-61.800","11788.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.469","0.166","-72.300","11721.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.357","0.168","-47.100","11647.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.248","0.170","-67.500","11574.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.103","0.172","-61.500","11510.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.995","0.174","-45.600","11437.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.902","0.176","-74.700","11374.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.741","0.178","-43.200","11312.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.703","0.180","-56.100","11245.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.565","0.182","-69.000","11190.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.452","0.185","-28.200","11126.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.421","0.188","-78.900","11064.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.251","0.190","-47.400","11007.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.230","0.193","-54.900","10938.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.145","0.196","-90.900","10876.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.038","0.200","-54.900","10812.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.026","0.203","-78.300","10738.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.969","0.207","-98.700","10673.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.891","0.210","-63.900","10601.6","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.906","0.214","-96.600","10525.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.860","0.218","-105.600","10458.0","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.801","0.222","-73.500","10382.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.869","0.226","-118.500","10306.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.792","0.230","-108.900","10238.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.774","0.235","-84.000","10162.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.835","0.239","-127.500","10087.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.772","0.243","-120.900","10019.3","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.755","0.247","-89.100","9943.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.846","0.252","-135.600","9867.9","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.771","0.256","-131.700","9800.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.752","0.260","-88.500","9724.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.870","0.265","-149.100","9648.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.761","0.269","-134.400","9579.3","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.751","0.273","-92.100","9502.5","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.849","0.278","-150.000","9423.2","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.753","0.282","-142.200","9351.8","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.715","0.286","-88.800","9274.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.846","0.291","-150.000","9192.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.745","0.295","-145.200","9117.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.693","0.300","-92.700","9041.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.814","0.304","-147.300","8957.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.741","0.308","-154.500","8878.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.668","0.313","-101.700","8802.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.754","0.317","-133.200","8718.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.753","0.322","-158.100","8634.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.643","0.327","-117.900","8557.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.704","0.331","-126.900","8475.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.719","0.336","-147.600","8387.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.655","0.340","-136.500","8304.0","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.645","0.345","-127.500","8223.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.680","0.350","-135.900","8135.6","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.675","0.354","-141.600","8046.0","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.644","0.359","-141.000","7961.5","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.636","0.364","-137.400","7876.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.639","0.368","-125.100","7784.6","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.679","0.373","-150.600","7693.0","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.634","0.378","-156.300","7606.2","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.594","0.383","-120.900","7517.7","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.652","0.388","-132.900","7425.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.685","0.392","-165.900","7333.1","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.592","0.397","-150.000","7246.3","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.587","0.402","-116.100","7157.9","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.673","0.407","-146.100","7065.1","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.675","0.412","-168.900","6972.3","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.585","0.417","-141.600","6883.6","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.594","0.422","-126.900","6796.0","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.664","0.427","-145.500","6709.2","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.662","0.432","-161.100","6627.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.619","0.437","-152.100","6550.5","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.595","0.442","-137.700","6475.2","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.620","0.446","-140.400","6396.4","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.647","0.451","-152.700","6318.0","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.643","0.456","-163.500","6242.0","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.579","0.461","-149.400","6168.0","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.569","0.466","-138.300","6092.8","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.602","0.471","-146.400","6013.2","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.622","0.477","-155.100","5934.4","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.607","0.482","-158.700","5856.1","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.553","0.487","-152.700","5778.7","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.537","0.492","-141.900","5700.0","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.561","0.497","-146.400","5617.8","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.595","0.502","-161.100","5535.8","9.000","9.000","6.434","4.268","0.262"
