"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.585","0.000","-301.200","13992.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.889","0.000","-303.900","14001.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.214","0.010","-285.300","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.675","0.018","-290.700","14000.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.011","0.023","-322.200","13993.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.324","0.028","-308.700","13999.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.731","0.033","-253.500","13994.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.903","0.037","-290.100","13999.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.969","0.041","-85.200","13997.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.377","0.045","-175.800","13998.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.371","0.049","-211.200","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.543","0.053","-138.600","13996.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.695","0.056","-171.300","14001.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.852","0.060","-153.000","13995.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.939","0.063","-143.400","14003.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.050","0.067","-156.900","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.111","0.070","-136.800","13961.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.214","0.073","-126.300","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.274","0.077","-156.600","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.268","0.082","-128.400","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.316","0.087","-131.700","13723.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.306","0.091","-126.900","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.399","0.096","-185.700","13586.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.344","0.100","-187.200","13515.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.367","0.104","-167.400","13437.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.314","0.108","-140.100","13363.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.332","0.111","-175.500","13277.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.186","0.115","-143.700","13204.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.178","0.118","-136.500","13122.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.054","0.121","-162.300","13055.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.907","0.124","-112.800","12984.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.851","0.127","-147.000","12922.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.654","0.130","-113.400","12868.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.569","0.133","-133.200","12810.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.361","0.136","-95.700","12766.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.330","0.139","-123.300","12711.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.068","0.141","-109.200","12669.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.982","0.144","-84.300","12619.1","7.000","7.000","10.944","5.878","0.074"
