"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.787","0.000","-303.900","13997.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.193","0.000","-258.300","13996.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.672","0.010","-299.700","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.086","0.018","-277.500","13998.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.474","0.023","-315.600","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.808","0.028","-295.500","14000.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.320","0.032","-264.300","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.394","0.037","-260.700","14002.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.725","0.041","-100.200","13994.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.048","0.044","-143.100","14002.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.178","0.048","-204.900","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.291","0.051","-162.900","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.495","0.055","-147.300","13996.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.626","0.058","-162.600","14001.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.704","0.061","-154.800","13998.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.776","0.064","-157.500","13992.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.815","0.066","-131.700","13957.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.877","0.069","-145.800","13902.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.828","0.073","-144.000","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.831","0.077","-138.900","13784.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.790","0.081","-115.800","13727.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.787","0.084","-144.900","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.702","0.088","-161.100","13593.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.692","0.092","-172.500","13515.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.551","0.095","-156.600","13446.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.531","0.098","-131.700","13363.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.379","0.102","-161.100","13284.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.261","0.105","-121.200","13205.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.153","0.108","-147.900","13126.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.958","0.111","-121.500","13059.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.889","0.114","-120.300","12984.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.678","0.116","-113.100","12927.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.576","0.119","-120.600","12863.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.349","0.122","-111.300","12812.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.313","0.125","-84.600","12762.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.083","0.128","-135.000","12711.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.958","0.131","-69.900","12669.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.871","0.134","-113.700","12615.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.667","0.137","-88.200","12573.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.624","0.140","-96.900","12518.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.400","0.143","-102.000","12466.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.392","0.146","-72.300","12413.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.163","0.149","-124.200","12349.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.093","0.152","-60.900","12293.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.006","0.155","-108.000","12223.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.798","0.158","-91.200","12159.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.796","0.161","-74.700","12090.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.576","0.164","-114.900","12016.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.550","0.167","-57.600","11952.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.410","0.170","-111.300","11873.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.277","0.173","-77.400","11805.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.250","0.176","-74.700","11732.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.061","0.178","-111.300","11656.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.015","0.181","-55.800","11590.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.906","0.184","-103.800","11515.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.766","0.187","-83.700","11448.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.728","0.189","-60.000","11383.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.584","0.192","-107.700","11313.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.492","0.195","-58.500","11256.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.452","0.198","-75.300","11193.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.278","0.201","-99.900","11129.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.259","0.204","-41.400","11075.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.167","0.207","-106.500","11008.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.028","0.211","-82.200","10948.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.049","0.214","-63.600","10887.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.907","0.218","-127.800","10816.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.866","0.222","-69.600","10753.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.878","0.226","-98.100","10684.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.746","0.230","-134.100","10609.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.769","0.235","-70.500","10543.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.762","0.239","-125.100","10468.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.640","0.244","-135.900","10392.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.712","0.248","-77.700","10324.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.680","0.253","-153.300","10248.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.573","0.258","-133.500","10172.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.695","0.262","-87.300","10105.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.615","0.267","-170.700","10028.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.563","0.272","-124.800","9953.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.679","0.277","-105.600","9886.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.607","0.282","-173.400","9810.6","8.000","9.000","6.495","4.391","0.158"
