"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.531","0.000","-282.600","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.967","0.000","-282.000","13997.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.328","0.010","-295.800","13995.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.707","0.018","-304.800","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.195","0.023","-248.400","13997.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.591","0.028","-326.400","13995.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.907","0.033","-278.700","13998.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.096","0.037","-236.100","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.379","0.041","-93.900","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.720","0.045","-159.000","13995.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.710","0.048","-212.400","14003.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.952","0.052","-138.900","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.124","0.055","-155.400","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.275","0.058","-159.900","13995.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.304","0.061","-171.000","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.485","0.064","-115.200","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.468","0.067","-175.500","13959.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.560","0.070","-115.500","13903.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.536","0.074","-166.800","13845.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.538","0.078","-113.700","13784.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.511","0.082","-152.700","13717.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.474","0.086","-117.000","13656.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.503","0.090","-179.700","13581.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.391","0.094","-182.700","13517.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.379","0.098","-153.000","13435.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.268","0.101","-148.800","13362.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.247","0.104","-139.200","13277.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.036","0.108","-161.700","13202.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.034","0.111","-105.600","13125.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.808","0.114","-168.900","13052.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.724","0.117","-92.700","12990.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.611","0.120","-144.900","12923.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.378","0.123","-117.600","12872.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.364","0.126","-96.300","12813.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.103","0.129","-132.000","12768.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.087","0.132","-81.900","12719.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.805","0.135","-139.200","12670.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.786","0.138","-62.700","12626.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.596","0.141","-133.200","12571.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.398","0.144","-93.900","12526.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.394","0.147","-77.400","12468.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.104","0.150","-129.600","12414.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.129","0.153","-61.200","12355.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.893","0.156","-125.400","12289.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.835","0.159","-72.600","12230.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.714","0.163","-99.300","12157.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.521","0.166","-105.000","12092.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.521","0.169","-68.400","12021.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.283","0.172","-124.500","11947.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.258","0.175","-69.000","11881.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.125","0.178","-97.200","11803.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.978","0.181","-102.300","11735.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.955","0.184","-68.100","11663.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.788","0.187","-111.000","11588.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.709","0.191","-77.100","11524.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.654","0.194","-83.700","11451.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.491","0.196","-110.700","11387.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.465","0.199","-58.800","11326.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.361","0.202","-101.400","11259.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.210","0.206","-96.900","11203.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.240","0.209","-51.600","11142.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.049","0.212","-122.700","11078.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.019","0.216","-59.700","11023.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.990","0.220","-94.200","10957.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.810","0.224","-123.600","10893.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.849","0.228","-67.500","10832.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.761","0.232","-124.200","10759.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.642","0.236","-121.200","10694.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.709","0.241","-75.600","10625.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.605","0.245","-150.600","10548.8","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.541","0.250","-114.900","10482.0","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.647","0.255","-93.000","10408.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.516","0.260","-163.200","10331.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.522","0.265","-105.600","10264.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.612","0.270","-119.400","10189.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.504","0.275","-166.800","10113.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.584","0.280","-100.800","10046.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.655","0.285","-138.600","9972.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.586","0.290","-165.600","9896.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.666","0.295","-109.200","9829.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.756","0.300","-145.800","9755.6","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.671","0.305","-167.100","9678.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.755","0.310","-116.400","9610.3","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.822","0.315","-152.100","9535.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.739","0.320","-165.600","9456.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.795","0.325","-125.700","9384.9","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.865","0.330","-144.300","9309.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.810","0.335","-161.100","9227.9","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.823","0.339","-129.300","9152.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.905","0.344","-138.600","9077.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.854","0.349","-159.000","8994.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.861","0.353","-137.100","8914.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.921","0.358","-132.300","8839.9","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.890","0.363","-152.700","8757.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.887","0.367","-139.800","8673.5","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.926","0.372","-135.900","8595.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.914","0.377","-148.800","8515.0","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.896","0.381","-139.500","8428.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.900","0.386","-143.100","8344.4","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.921","0.390","-133.200","8264.5","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.929","0.395","-141.300","8177.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.902","0.400","-146.400","8087.8","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.902","0.404","-132.300","8003.1","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.914","0.409","-137.700","7918.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.912","0.413","-143.700","7827.7","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.880","0.418","-141.000","7736.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.889","0.423","-135.000","7650.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.886","0.427","-139.200","7562.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.879","0.432","-143.700","7473.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.856","0.436","-142.800","7421.0","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.862","0.441","-133.800","7392.5","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.891","0.446","-134.400","7347.5","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.864","0.450","-152.400","7276.1","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.832","0.455","-141.300","7205.7","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.865","0.460","-126.300","7138.2","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.892","0.465","-141.900","7066.4","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.844","0.469","-150.900","6991.6","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.835","0.474","-138.600","6917.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.856","0.479","-132.000","6847.0","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.867","0.483","-141.300","6773.7","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.842","0.488","-154.800","6695.2","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.808","0.493","-144.000","6617.6","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.796","0.498","-137.700","6541.6","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.820","0.503","-135.900","6467.3","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.794","0.507","-158.400","6388.1","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.739","0.512","-149.700","6307.6","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.765","0.517","-132.900","6228.0","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.775","0.522","-141.300","6150.4","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.776","0.527","-145.500","6073.3","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.756","0.532","-150.000","5991.9","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.756","0.537","-147.600","5910.5","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.744","0.542","-150.000","5830.3","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.734","0.547","-150.000","5751.4","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.739","0.552","-144.900","5673.6","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.712","0.557","-151.200","5591.9","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.708","0.562","-153.900","5509.7","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.693","0.567","-152.400","5427.9","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.681","0.572","-148.500","5347.3","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.712","0.577","-139.200","5269.0","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.712","0.582","-154.500","5188.5","9.000","9.000","6.425","4.249","0.278"
