"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.430","0.000","-302.400","13990.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.813","0.000","-259.800","13998.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.331","0.010","-272.700","13992.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.666","0.018","-342.300","14000.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.092","0.023","-245.400","13994.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.592","0.028","-319.500","13999.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.915","0.033","-281.100","13996.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.218","0.037","-236.400","13998.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.416","0.041","-102.300","13998.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.810","0.044","-162.000","13997.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.959","0.048","-173.100","14000.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.119","0.051","-194.700","13995.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.256","0.055","-120.600","14002.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.505","0.058","-170.400","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.532","0.061","-155.700","14003.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.661","0.063","-138.000","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.713","0.066","-137.100","13960.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.832","0.069","-128.700","13899.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.812","0.072","-159.000","13846.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.805","0.076","-102.300","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.836","0.080","-151.200","13719.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.773","0.084","-108.900","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.804","0.087","-183.900","13581.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.716","0.090","-147.900","13514.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.689","0.093","-179.100","13434.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.523","0.096","-113.100","13361.5","6.000","7.000","12.278","6.411","0.050"
