"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.725","0.000","-304.500","13996.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.130","0.000","-276.300","13995.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.527","0.010","-346.800","13995.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.750","0.018","-298.800","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.172","0.023","-284.700","13994.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.594","0.028","-290.700","14000.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.074","0.033","-289.800","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.221","0.037","-241.800","14001.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.468","0.041","-76.200","13994.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.855","0.045","-170.400","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.019","0.049","-188.100","13994.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.136","0.052","-180.900","14002.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.298","0.055","-120.600","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.529","0.059","-197.700","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.510","0.062","-140.400","13997.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.650","0.065","-157.200","13992.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.667","0.068","-133.500","13957.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.787","0.070","-155.100","13902.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.700","0.074","-143.700","13849.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.738","0.078","-129.300","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.674","0.082","-137.700","13727.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.673","0.086","-134.700","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.603","0.090","-179.400","13592.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.576","0.094","-160.500","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.492","0.097","-187.200","13448.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.348","0.101","-119.100","13365.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.338","0.104","-169.500","13287.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.113","0.107","-125.400","13208.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.073","0.111","-154.200","13128.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.807","0.114","-126.300","13060.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.768","0.117","-114.900","12983.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.563","0.120","-142.800","12926.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.425","0.123","-100.800","12861.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.270","0.126","-131.100","12811.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.092","0.129","-88.200","12759.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.023","0.132","-133.500","12709.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.731","0.135","-87.300","12667.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.739","0.139","-99.900","12613.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.489","0.142","-123.900","12571.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.404","0.145","-81.000","12516.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.257","0.148","-115.500","12466.3","7.000","7.000","10.611","5.744","0.080"
