"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.688","0.000","-278.400","13998.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.050","0.000","-285.300","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.521","0.010","-301.200","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.885","0.018","-274.800","13996.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.334","0.023","-307.200","13998.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.745","0.028","-303.900","13997.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.030","0.033","-363.300","13995.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.124","0.037","-187.800","13999.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.381","0.041","-140.700","13995.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.681","0.045","-150.900","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.879","0.048","-195.300","13995.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.958","0.052","-144.300","14004.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.181","0.055","-139.800","13995.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.355","0.059","-190.800","14003.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.377","0.062","-108.600","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.590","0.065","-186.300","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.570","0.068","-112.200","13955.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.697","0.071","-151.800","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.720","0.074","-111.600","13849.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.779","0.079","-162.600","13789.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.716","0.083","-85.200","13728.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.826","0.087","-150.000","13659.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.818","0.091","-139.800","13596.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.864","0.094","-183.000","13520.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.843","0.097","-147.900","13453.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.795","0.101","-130.200","13368.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.825","0.104","-157.800","13294.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.680","0.106","-112.500","13210.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.678","0.109","-162.900","13135.2","6.000","7.000","11.944","6.278","0.056"
