"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.670","0.000","-287.400","13996.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.094","0.000","-281.100","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.483","0.010","-297.000","14001.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.878","0.018","-294.300","13994.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.301","0.023","-290.700","14002.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.663","0.028","-315.000","13992.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.068","0.032","-277.800","14000.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.310","0.037","-241.200","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.437","0.041","-131.700","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.761","0.045","-131.400","13997.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.955","0.048","-231.000","13999.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.969","0.052","-139.200","13999.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.201","0.055","-170.400","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.305","0.058","-148.500","14000.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.421","0.061","-168.300","13996.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.456","0.064","-133.800","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.574","0.067","-143.100","13953.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.579","0.070","-142.800","13906.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.625","0.074","-130.800","13842.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.593","0.078","-155.100","13788.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.559","0.083","-108.300","13717.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.545","0.087","-159.300","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.502","0.091","-133.800","13583.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.552","0.094","-217.800","13514.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.365","0.098","-133.800","13438.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.399","0.101","-150.000","13357.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.267","0.105","-143.100","13281.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.213","0.108","-150.000","13197.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.037","0.111","-138.900","13128.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.954","0.114","-124.200","13049.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.790","0.117","-140.700","12987.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.649","0.120","-101.700","12921.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.557","0.123","-146.400","12864.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.299","0.126","-88.200","12815.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.284","0.129","-121.200","12760.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.020","0.132","-106.200","12719.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.959","0.135","-102.300","12666.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.753","0.138","-108.000","12623.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.651","0.141","-88.200","12572.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.513","0.144","-119.400","12519.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.308","0.147","-68.400","12471.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.307","0.151","-118.200","12407.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.031","0.154","-85.800","12354.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.034","0.157","-90.000","12287.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.840","0.160","-103.200","12223.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.749","0.163","-76.800","12157.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.650","0.166","-111.300","12083.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.470","0.169","-72.600","12019.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.475","0.172","-104.100","11942.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.264","0.176","-93.000","11872.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.239","0.179","-72.900","11801.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.141","0.182","-103.200","11723.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.014","0.185","-78.900","11657.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.979","0.188","-89.100","11581.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.852","0.191","-89.700","11512.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.782","0.194","-78.600","11447.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.719","0.196","-90.300","11375.1","7.000","8.000","8.780","5.084","0.112"
