"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.496","0.000","-284.400","13996.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.855","0.000","-275.100","13996.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.276","0.010","-315.000","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.681","0.018","-268.200","13998.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.159","0.023","-308.700","13994.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.463","0.028","-300.300","14000.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.990","0.033","-273.900","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.098","0.037","-264.900","14002.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.353","0.041","-81.300","13994.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.752","0.045","-162.000","14002.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.858","0.048","-204.300","13994.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.980","0.052","-158.700","14001.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.199","0.055","-131.700","13996.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.396","0.058","-185.700","14001.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.414","0.061","-142.500","13998.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.585","0.064","-146.700","13992.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.597","0.067","-138.900","13957.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.708","0.070","-147.900","13903.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.657","0.073","-137.100","13849.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.713","0.078","-134.700","13784.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.631","0.082","-130.200","13727.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.659","0.085","-130.500","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.604","0.089","-170.400","13593.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.604","0.093","-168.300","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.475","0.096","-174.900","13447.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.412","0.099","-114.300","13364.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.371","0.102","-168.300","13286.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.160","0.105","-123.900","13207.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.118","0.108","-144.600","13127.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.886","0.111","-118.500","13060.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.829","0.114","-123.000","12984.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.599","0.117","-129.300","12927.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.497","0.119","-101.400","12864.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.301","0.122","-122.700","12813.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.148","0.125","-90.300","12762.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.019","0.128","-121.800","12711.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.772","0.131","-88.200","12669.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.729","0.134","-97.800","12615.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.474","0.137","-109.800","12573.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.385","0.140","-85.500","12518.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.204","0.143","-100.500","12467.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.087","0.146","-87.000","12413.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.948","0.149","-106.200","12350.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.777","0.152","-79.200","12295.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.731","0.156","-99.900","12224.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.502","0.159","-101.100","12161.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.446","0.162","-81.600","12092.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.299","0.165","-102.000","12018.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.188","0.169","-93.000","11953.6","7.000","7.000","9.722","5.389","0.096"
