"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.495","0.000","-320.100","13997.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.855","0.000","-251.400","13995.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.308","0.010","-343.800","13997.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.598","0.018","-233.400","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.188","0.023","-318.600","13996.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.432","0.028","-309.600","13999.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.913","0.033","-260.700","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.134","0.037","-256.200","14001.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.340","0.041","-93.000","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.670","0.045","-171.300","14002.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.873","0.048","-171.000","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.011","0.052","-195.000","14003.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.106","0.055","-129.000","13995.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.340","0.058","-187.500","14002.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.353","0.061","-135.300","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.516","0.064","-168.000","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.484","0.067","-134.700","13956.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.603","0.070","-139.200","13905.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.579","0.074","-137.700","13849.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.612","0.078","-147.300","13787.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.497","0.082","-125.100","13729.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.540","0.086","-128.100","13657.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.498","0.090","-178.800","13596.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.466","0.093","-174.300","13519.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.352","0.097","-169.200","13453.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.274","0.100","-120.300","13369.5","6.000","7.000","12.278","6.411","0.050"
