"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.572","0.000","-306.000","13998.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.052","0.000","-249.000","13994.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.385","0.010","-344.100","13998.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.821","0.018","-235.800","13996.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.308","0.023","-325.200","13997.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.572","0.028","-302.100","13998.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.062","0.032","-282.300","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.249","0.037","-228.600","14000.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.525","0.041","-129.300","13995.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.839","0.044","-132.300","14002.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.037","0.048","-215.100","13995.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.094","0.051","-149.400","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.348","0.055","-147.300","13994.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.462","0.058","-174.900","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.555","0.061","-144.300","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.637","0.064","-159.000","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.702","0.066","-126.900","13956.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.763","0.069","-152.100","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.746","0.073","-123.300","13849.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.759","0.077","-156.600","13787.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.702","0.081","-102.300","13727.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.715","0.084","-160.500","13657.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.629","0.088","-142.800","13595.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.631","0.092","-196.800","13517.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.456","0.095","-144.000","13450.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.470","0.098","-136.200","13364.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.317","0.101","-158.400","13290.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.216","0.104","-116.400","13207.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.063","0.107","-157.500","13131.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.901","0.110","-99.300","13060.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.807","0.113","-145.500","12987.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.572","0.116","-99.600","12928.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.493","0.119","-130.200","12861.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.230","0.122","-97.500","12814.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.205","0.124","-99.300","12759.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.948","0.127","-127.800","12712.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.838","0.130","-66.000","12666.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.707","0.133","-132.600","12615.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.502","0.136","-67.200","12573.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.455","0.139","-115.800","12517.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.203","0.143","-84.900","12470.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.230","0.146","-84.600","12413.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.973","0.149","-122.700","12353.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.937","0.152","-46.200","12297.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.834","0.155","-130.500","12226.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.642","0.158","-67.800","12166.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.659","0.161","-94.800","12093.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.432","0.165","-104.100","12023.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.450","0.168","-62.400","11956.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.284","0.171","-123.900","11878.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.193","0.174","-59.400","11811.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.179","0.177","-96.900","11735.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.994","0.180","-102.300","11662.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.988","0.183","-58.500","11595.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.867","0.185","-109.800","11518.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.756","0.188","-77.100","11454.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.732","0.191","-72.300","11386.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.593","0.193","-109.500","11318.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.519","0.196","-49.200","11261.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.476","0.199","-94.800","11195.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.306","0.202","-80.700","11136.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.316","0.205","-47.100","11079.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.207","0.208","-110.400","11012.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.084","0.211","-68.400","10956.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.123","0.215","-73.800","10892.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.965","0.219","-124.200","10823.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.947","0.222","-54.600","10761.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.953","0.226","-114.000","10689.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.802","0.230","-117.900","10617.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.846","0.234","-65.100","10551.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.821","0.239","-137.700","10475.0","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.713","0.243","-109.200","10401.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.788","0.247","-81.300","10333.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.738","0.252","-158.400","10254.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.649","0.256","-102.300","10181.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.761","0.261","-100.200","10112.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.664","0.265","-168.900","10034.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.635","0.270","-93.300","9962.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.741","0.275","-120.300","9894.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.644","0.279","-171.600","9816.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.612","0.284","-102.900","9744.3","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.716","0.289","-125.400","9675.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.624","0.294","-176.400","9597.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.577","0.299","-109.500","9522.1","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.712","0.303","-129.600","9451.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.617","0.308","-176.100","9372.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.586","0.313","-110.700","9294.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.712","0.318","-129.000","9222.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.651","0.323","-176.400","9142.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.571","0.328","-131.400","9060.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.704","0.333","-118.800","8986.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.701","0.338","-172.200","8907.4","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.606","0.343","-147.300","8823.4","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.680","0.348","-124.200","8744.6","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.709","0.353","-155.400","8667.7","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.657","0.357","-156.600","8582.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.668","0.362","-137.100","8498.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.719","0.367","-142.200","8420.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.709","0.372","-149.400","8336.3","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.697","0.377","-151.200","8247.8","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.694","0.382","-146.700","8163.9","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.728","0.387","-137.400","8081.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.713","0.392","-156.900","7992.7","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.693","0.397","-155.700","7902.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.730","0.402","-128.700","7816.7","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.752","0.407","-153.300","7730.5","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.700","0.412","-162.600","7638.3","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.684","0.417","-138.900","7545.9","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.756","0.421","-131.700","7459.9","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.772","0.426","-162.300","7389.5","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.697","0.431","-165.300","7332.0","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.687","0.436","-129.900","7255.5","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.765","0.441","-139.800","7181.7","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.753","0.446","-168.900","7106.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.674","0.451","-153.000","7030.3","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.698","0.456","-131.400","6958.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.761","0.461","-146.100","6889.9","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.743","0.466","-164.400","6820.2","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.692","0.471","-149.700","6745.1","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.692","0.476","-141.900","6670.2","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.705","0.481","-153.300","6597.2","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.722","0.486","-150.600","6524.8","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.711","0.491","-156.300","6447.0","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.668","0.496","-154.200","6367.0","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.671","0.501","-141.300","6288.2","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.710","0.507","-150.600","6210.5","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.709","0.512","-155.400","6132.5","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.698","0.517","-154.200","6050.0","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.677","0.522","-147.900","5967.7","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.698","0.527","-151.500","5886.0","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.714","0.532","-158.400","5805.9","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.715","0.537","-151.200","5725.9","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.721","0.543","-156.600","5642.7","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.689","0.548","-151.800","5559.1","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.706","0.553","-150.300","5476.2","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.717","0.558","-159.000","5394.5","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.723","0.563","-155.100","5314.1","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.720","0.568","-154.200","5231.4","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.704","0.574","-155.400","5146.7","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.700","0.579","-151.500","5062.8","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.738","0.584","-151.200","4979.7","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.737","0.589","-164.700","4897.7","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.714","0.594","-152.100","4816.6","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.737","0.600","-150.000","4733.5","9.000","9.000","6.420","4.240","0.286"
