"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.648","0.000","-334.800","13994.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.950","0.000","-262.500","13998.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.428","0.010","-303.300","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.765","0.018","-291.900","14000.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.141","0.023","-315.900","13993.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.403","0.028","-317.700","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.769","0.033","-282.600","13993.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.926","0.037","-248.100","14001.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.114","0.041","-115.200","13994.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.432","0.045","-147.600","14000.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.490","0.049","-209.100","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.487","0.053","-189.300","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.618","0.056","-130.500","13998.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.864","0.060","-167.100","13998.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.807","0.063","-177.900","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.989","0.067","-112.800","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.051","0.070","-151.500","13959.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.173","0.073","-126.000","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.191","0.077","-144.900","13849.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.245","0.082","-131.400","13783.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.281","0.087","-121.200","13726.5","6.000","6.000","12.313","6.500","0.040"
