"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.723","0.000","-326.700","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.160","0.000","-282.300","13994.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.625","0.010","-254.700","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.014","0.018","-319.200","13994.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.395","0.023","-279.000","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.861","0.028","-291.900","13994.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.137","0.032","-303.300","14002.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.399","0.037","-196.200","13993.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.619","0.041","-148.800","14001.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.977","0.044","-112.500","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.029","0.048","-223.800","14001.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.208","0.051","-140.100","13996.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.375","0.055","-167.100","14000.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.440","0.058","-157.500","13998.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.582","0.061","-151.200","13999.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.583","0.064","-159.000","13992.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.626","0.066","-150.900","13954.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.628","0.069","-129.300","13905.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.648","0.073","-152.400","13840.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.486","0.077","-162.000","13783.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.518","0.081","-104.700","13712.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.404","0.085","-155.100","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.379","0.089","-164.100","13576.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.207","0.093","-209.100","13508.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.172","0.097","-125.400","13427.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.078","0.101","-167.700","13348.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","9.930","0.104","-153.000","13269.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.797","0.108","-149.400","13188.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.651","0.112","-130.800","13120.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.558","0.115","-142.500","13044.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.323","0.119","-142.500","12985.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.297","0.122","-107.400","12920.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.039","0.126","-151.200","12869.4","7.000","7.000","11.500","6.100","0.064"
