"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.730","0.000","-281.400","13991.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.130","0.000","-311.400","13998.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.496","0.010","-272.100","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.987","0.018","-299.400","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.384","0.023","-294.300","13996.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.789","0.028","-320.100","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.189","0.033","-261.600","13997.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.517","0.037","-267.000","13996.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.632","0.041","-88.500","13999.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.113","0.044","-156.900","13995.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.242","0.048","-210.300","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.362","0.051","-152.400","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.542","0.055","-150.600","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.733","0.058","-173.400","13995.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.763","0.061","-159.000","14003.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.864","0.063","-134.100","13986.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.946","0.066","-163.200","13959.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.924","0.069","-126.300","13900.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.951","0.072","-156.300","13845.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.867","0.076","-117.900","13780.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.886","0.080","-148.800","13716.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.734","0.084","-121.500","13650.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.771","0.087","-165.300","13579.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.643","0.090","-174.600","13513.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.565","0.094","-156.000","13431.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.422","0.097","-135.600","13358.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.379","0.100","-140.700","13272.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.188","0.103","-152.400","13200.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.033","0.106","-107.400","13121.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.926","0.109","-154.500","13052.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.673","0.112","-92.400","12986.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.639","0.115","-140.100","12921.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.335","0.118","-104.700","12871.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.298","0.121","-103.800","12813.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.048","0.124","-119.700","12771.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.928","0.127","-87.000","12718.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.764","0.130","-125.400","12673.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.567","0.133","-69.900","12626.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.532","0.137","-136.200","12572.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.192","0.140","-83.100","12527.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.222","0.143","-92.700","12466.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.992","0.147","-117.300","12414.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.883","0.150","-77.100","12352.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.774","0.153","-118.800","12287.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.587","0.157","-76.200","12226.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.561","0.160","-120.000","12151.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.311","0.164","-86.700","12088.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.328","0.167","-87.900","12013.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.166","0.171","-128.700","11942.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.032","0.175","-75.900","11874.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.011","0.178","-109.500","11795.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.832","0.182","-99.900","11729.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.801","0.185","-86.700","11654.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.706","0.189","-118.800","11582.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.575","0.192","-82.200","11517.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.553","0.195","-105.300","11443.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.421","0.199","-105.000","11382.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.357","0.202","-77.100","11319.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.330","0.205","-111.900","11253.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.172","0.209","-91.800","11198.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.166","0.212","-79.200","11133.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.077","0.216","-126.300","11071.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","5.945","0.220","-64.500","11015.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.985","0.224","-116.100","10945.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.831","0.228","-112.500","10884.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.820","0.232","-78.000","10819.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.821","0.237","-138.300","10746.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.682","0.241","-111.900","10681.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.693","0.246","-96.300","10609.7","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.701","0.251","-151.800","10533.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.589","0.255","-114.000","10466.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.643","0.260","-111.300","10390.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.631","0.265","-165.300","10314.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.527","0.270","-105.300","10246.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.624","0.275","-139.200","10170.0","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.559","0.280","-168.600","10095.1","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.502","0.286","-108.000","10027.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.601","0.291","-149.400","9951.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.544","0.296","-174.600","9876.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.487","0.301","-110.400","9809.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.615","0.307","-153.300","9733.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.556","0.312","-185.400","9657.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.487","0.317","-114.300","9588.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.639","0.323","-161.100","9511.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.566","0.328","-190.200","9432.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.485","0.333","-119.400","9361.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.621","0.339","-156.900","9284.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.596","0.344","-197.400","9202.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.468","0.349","-128.100","9128.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.610","0.355","-142.200","9051.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.611","0.360","-202.500","8967.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.474","0.366","-141.000","8889.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.584","0.371","-137.100","8813.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.618","0.376","-192.000","8729.5","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.503","0.382","-160.500","8645.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.532","0.388","-137.700","8568.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.605","0.393","-179.400","8486.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.539","0.398","-168.600","8399.3","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.531","0.404","-151.800","8316.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.582","0.409","-159.300","8235.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.583","0.415","-164.700","8147.9","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.559","0.421","-177.300","8059.0","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.540","0.426","-156.000","7975.8","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.594","0.432","-150.900","7889.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.622","0.437","-183.900","7798.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.583","0.443","-176.100","7707.3","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.561","0.448","-143.100","7621.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.657","0.454","-157.800","7532.2","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.659","0.459","-198.300","7439.3","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.561","0.465","-168.900","7348.4","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.573","0.471","-137.100","7262.4","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.675","0.476","-171.300","7173.2","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.622","0.482","-197.400","7080.5","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.537","0.487","-155.700","6988.1","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.567","0.493","-147.900","6900.5","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.646","0.498","-171.900","6812.2","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.615","0.504","-181.500","6719.6","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.574","0.510","-165.600","6626.3","8.000","9.000","6.451","4.301","0.234"
