"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.752","0.000","-293.100","13992.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.077","0.000","-298.800","14000.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.477","0.010","-297.600","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.873","0.018","-292.800","13999.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.255","0.023","-295.200","13995.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.630","0.028","-313.800","13999.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.970","0.033","-287.100","13996.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.129","0.037","-255.900","13998.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.373","0.041","-82.200","13999.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.689","0.045","-203.700","13996.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.730","0.049","-164.100","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.921","0.052","-180.900","13995.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.044","0.056","-139.800","14002.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.199","0.059","-183.900","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.234","0.062","-137.400","14003.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.399","0.066","-155.100","13987.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.354","0.069","-160.500","13960.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.481","0.072","-108.300","13901.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.465","0.076","-176.100","13847.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.478","0.080","-101.400","13781.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.454","0.085","-166.200","13719.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.444","0.089","-93.000","13653.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.486","0.093","-217.200","13583.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.386","0.097","-161.400","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.385","0.101","-182.400","13434.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.275","0.105","-132.600","13361.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.315","0.108","-164.100","13274.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.062","0.112","-163.200","13202.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.101","0.115","-110.700","13122.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.880","0.119","-182.700","13055.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.782","0.122","-87.300","12988.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.695","0.125","-168.600","12925.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.465","0.128","-103.200","12874.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.445","0.131","-126.900","12815.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.180","0.134","-117.600","12771.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.178","0.137","-101.700","12718.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.871","0.141","-139.800","12674.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.863","0.144","-59.400","12625.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.667","0.147","-159.900","12572.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.469","0.150","-69.000","12527.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.474","0.153","-107.400","12466.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.165","0.156","-119.400","12415.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.178","0.159","-70.500","12352.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.927","0.163","-131.400","12289.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.881","0.166","-64.200","12227.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.747","0.169","-122.700","12154.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.568","0.172","-86.100","12091.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.569","0.176","-82.800","12016.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.319","0.179","-121.500","11946.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.316","0.182","-62.100","11877.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.165","0.185","-122.400","11799.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.032","0.189","-84.600","11734.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.016","0.192","-78.600","11658.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.843","0.195","-122.400","11587.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.788","0.198","-63.600","11522.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.719","0.201","-96.000","11448.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.577","0.204","-106.800","11388.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.555","0.207","-58.800","11323.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.448","0.210","-117.600","11258.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.339","0.213","-68.400","11203.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.344","0.217","-82.200","11137.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.169","0.220","-104.100","11077.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.176","0.224","-56.700","11019.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.120","0.227","-109.200","10950.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.985","0.231","-102.000","10890.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.043","0.235","-72.300","10824.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.951","0.239","-132.300","10752.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.884","0.244","-89.400","10688.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.940","0.248","-98.700","10615.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.843","0.252","-140.700","10541.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.832","0.257","-87.000","10473.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.878","0.261","-123.600","10397.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.761","0.266","-147.300","10322.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.794","0.270","-92.100","10254.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.812","0.275","-144.600","10177.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.720","0.280","-139.500","10104.1","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.793","0.285","-101.700","10035.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.786","0.289","-150.900","9959.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.734","0.294","-135.000","9885.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.791","0.299","-112.800","9817.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.808","0.304","-151.500","9740.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.747","0.309","-140.400","9666.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.814","0.313","-117.900","9596.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.827","0.318","-155.700","9518.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.764","0.323","-142.200","9441.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.801","0.328","-133.200","9370.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.806","0.333","-153.000","9291.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.767","0.337","-147.300","9210.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.775","0.342","-132.600","9136.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.813","0.347","-150.300","9058.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.760","0.352","-143.700","8974.8","8.000","9.000","6.482","4.365","0.180"
