"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.859","0.000","-263.400","13993.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.160","0.000","-320.700","13999.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.568","0.010","-276.000","13994.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.074","0.018","-283.800","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.403","0.023","-318.600","13997.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.800","0.028","-309.000","13996.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.185","0.033","-260.100","13998.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.329","0.037","-267.900","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.638","0.041","-82.500","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.985","0.045","-164.400","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.990","0.048","-207.300","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.266","0.052","-129.000","13994.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.388","0.055","-182.100","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.581","0.059","-144.600","13994.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.625","0.062","-168.900","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.777","0.065","-128.400","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.780","0.068","-171.900","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.866","0.070","-111.600","13903.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.855","0.074","-171.300","13845.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.820","0.078","-116.400","13784.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.815","0.082","-148.500","13718.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.760","0.086","-120.900","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.799","0.090","-176.400","13581.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.671","0.094","-179.400","13515.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.661","0.097","-150.900","13432.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.530","0.100","-148.200","13360.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.520","0.104","-133.800","13275.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.294","0.107","-167.400","13200.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.275","0.110","-100.500","13123.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.082","0.113","-162.000","13051.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.950","0.116","-98.100","12988.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.853","0.119","-133.500","12922.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.618","0.121","-116.400","12872.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.586","0.124","-96.600","12813.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.306","0.127","-130.200","12769.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.283","0.130","-80.100","12719.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.005","0.133","-134.100","12670.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.951","0.136","-63.300","12626.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.781","0.139","-123.900","12570.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.567","0.142","-92.700","12525.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.570","0.145","-73.500","12466.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.271","0.147","-126.300","12412.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.263","0.151","-60.900","12352.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.044","0.154","-116.700","12285.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.961","0.157","-74.100","12226.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.837","0.160","-97.200","12152.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.635","0.163","-100.800","12087.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.623","0.166","-65.400","12015.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.389","0.169","-121.500","11941.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.329","0.172","-71.400","11875.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.213","0.175","-89.400","11796.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.051","0.178","-102.900","11728.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.993","0.181","-71.100","11656.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.838","0.184","-107.400","11582.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.714","0.187","-84.900","11518.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.645","0.190","-80.100","11445.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.476","0.193","-112.200","11381.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.390","0.196","-66.600","11320.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.303","0.199","-95.400","11252.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.114","0.202","-102.600","11196.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.102","0.206","-57.300","11134.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","5.933","0.210","-118.200","11069.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","5.850","0.214","-74.400","11014.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.810","0.218","-94.500","10946.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.643","0.222","-128.400","10882.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.630","0.226","-78.600","10820.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.573","0.231","-125.400","10746.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.451","0.236","-130.800","10680.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.467","0.241","-91.500","10611.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.408","0.246","-150.000","10534.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.316","0.251","-136.200","10467.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.372","0.257","-110.100","10393.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.282","0.262","-171.000","10316.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.241","0.268","-132.000","10248.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.312","0.273","-131.100","10174.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.224","0.279","-182.400","10097.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.227","0.285","-135.300","10031.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.290","0.291","-147.900","9956.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.231","0.297","-185.400","9880.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.221","0.303","-147.000","9813.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.305","0.309","-154.500","9738.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.229","0.315","-197.400","9661.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.230","0.321","-155.400","9592.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.328","0.327","-157.800","9517.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.255","0.333","-198.000","9438.2","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.245","0.339","-163.800","9366.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.350","0.345","-153.300","9291.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.308","0.351","-199.800","9209.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.263","0.357","-177.600","9133.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.383","0.363","-150.600","9058.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.359","0.369","-196.500","8976.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.320","0.375","-182.100","8895.6","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.405","0.381","-160.800","8820.8","8.000","9.000","6.480","4.360","0.184"
