"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.790","0.000","-315.300","13994.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.122","0.000","-262.500","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.637","0.010","-265.800","13993.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.094","0.018","-312.000","14000.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.490","0.023","-291.300","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.928","0.028","-300.000","14001.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.339","0.032","-284.400","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.648","0.037","-258.300","14002.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.728","0.041","-105.300","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.162","0.044","-154.800","14001.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.324","0.048","-201.300","13996.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.445","0.051","-174.600","14001.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.558","0.054","-135.000","13999.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.777","0.057","-181.500","13998.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.812","0.060","-146.700","14001.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.907","0.063","-160.500","13989.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.916","0.066","-132.000","13959.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.972","0.068","-143.700","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.952","0.072","-145.200","13849.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.903","0.076","-136.500","13782.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.847","0.080","-127.800","13725.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.775","0.083","-123.600","13653.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.754","0.087","-180.300","13590.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.627","0.090","-160.800","13516.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.566","0.094","-166.800","13445.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.382","0.097","-123.300","13367.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.352","0.100","-161.100","13284.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.125","0.103","-117.900","13210.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.071","0.106","-139.200","13127.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.851","0.109","-131.400","13061.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.700","0.112","-99.300","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.586","0.115","-137.700","12927.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.367","0.118","-103.200","12867.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.268","0.121","-123.300","12813.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.033","0.124","-87.300","12766.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.992","0.128","-125.100","12711.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.703","0.131","-96.000","12671.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.648","0.134","-85.500","12617.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.492","0.137","-130.200","12572.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.289","0.141","-72.000","12521.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.256","0.144","-118.800","12465.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.025","0.147","-86.700","12415.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.006","0.151","-108.000","12349.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.781","0.154","-94.200","12294.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.740","0.157","-91.200","12226.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.595","0.161","-122.100","12158.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.440","0.164","-72.600","12093.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.424","0.168","-117.300","12017.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.220","0.171","-87.600","11952.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.204","0.175","-93.000","11876.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.060","0.178","-110.700","11804.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.977","0.181","-81.600","11735.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.924","0.185","-105.600","11656.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.784","0.188","-94.800","11591.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.736","0.191","-90.300","11518.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.645","0.194","-104.700","11447.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.536","0.198","-90.000","11386.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.489","0.201","-90.600","11316.0","7.000","8.000","8.660","5.048","0.114"
