"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.730","0.000","-328.200","13998.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.059","0.000","-263.400","13997.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.510","0.010","-282.300","13996.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.006","0.018","-275.100","13998.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.428","0.023","-330.300","13994.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.822","0.028","-266.400","14000.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.264","0.033","-297.900","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.629","0.037","-233.400","14002.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.774","0.041","-129.000","13994.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.113","0.044","-137.400","14002.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.373","0.048","-198.900","13993.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.490","0.051","-189.600","14001.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.544","0.054","-141.300","13996.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.776","0.057","-173.100","14001.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.816","0.060","-152.700","13998.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.924","0.063","-164.400","13992.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.911","0.066","-122.700","13957.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.979","0.068","-151.500","13903.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.973","0.072","-137.400","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.932","0.076","-146.700","13785.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.847","0.079","-105.900","13727.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.832","0.083","-145.200","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.765","0.086","-162.300","13592.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.676","0.090","-162.600","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.617","0.093","-154.800","13448.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.469","0.096","-129.300","13365.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.431","0.099","-154.800","13287.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.204","0.102","-107.700","13208.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.174","0.105","-145.800","13129.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.966","0.108","-112.200","13060.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.848","0.111","-120.300","12984.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.694","0.114","-109.800","12926.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.544","0.117","-108.300","12862.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.408","0.119","-112.500","12812.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.197","0.122","-76.800","12760.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.166","0.125","-131.400","12710.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.871","0.128","-73.800","12668.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.838","0.131","-99.900","12614.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.644","0.134","-96.900","12572.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.520","0.137","-88.500","12517.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.396","0.140","-100.200","12466.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.210","0.143","-72.300","12411.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.189","0.146","-117.600","12349.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.917","0.149","-68.100","12293.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.916","0.152","-96.300","12222.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.728","0.155","-96.000","12159.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.614","0.158","-72.300","12089.7","7.000","7.000","9.944","5.478","0.092"
