"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.737","0.000","-303.600","13999.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.056","0.000","-306.300","13995.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.434","0.010","-288.000","13997.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.845","0.018","-278.100","13997.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.255","0.023","-362.100","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.526","0.028","-257.400","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.991","0.033","-332.700","13994.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.153","0.037","-232.200","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.329","0.041","-122.100","13993.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.501","0.045","-242.700","14000.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.481","0.049","-145.800","13993.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.655","0.052","-177.300","14002.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.730","0.056","-141.300","13994.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.018","0.059","-154.500","14002.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.021","0.063","-147.300","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.204","0.066","-132.600","13993.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.271","0.069","-147.600","13956.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.388","0.073","-127.800","13904.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.431","0.077","-141.600","13848.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.487","0.082","-137.100","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.500","0.086","-118.800","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.552","0.091","-145.500","13654.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.552","0.095","-163.200","13592.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.596","0.099","-192.600","13515.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.574","0.103","-165.000","13447.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.506","0.106","-141.000","13362.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.560","0.110","-164.400","13286.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.409","0.113","-136.200","13204.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.395","0.116","-157.800","13127.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.218","0.119","-124.200","13056.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.169","0.122","-136.500","12982.3","7.000","7.000","11.722","6.189","0.060"
