"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.662","0.000","-287.400","13999.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.059","0.000","-285.000","13991.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.455","0.010","-296.700","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.896","0.018","-258.900","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.343","0.023","-337.800","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.668","0.028","-266.400","13995.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.138","0.033","-305.700","13998.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.338","0.037","-214.200","13997.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.574","0.041","-147.300","13997.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.829","0.044","-121.200","14000.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.119","0.048","-218.700","13996.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.117","0.051","-156.900","14001.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.372","0.055","-153.300","13996.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.470","0.058","-158.400","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.588","0.061","-155.700","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.616","0.064","-162.000","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.676","0.067","-126.600","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.722","0.069","-147.900","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.708","0.073","-137.700","13843.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.668","0.077","-153.600","13786.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.604","0.081","-98.700","13720.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.629","0.085","-167.700","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.500","0.089","-144.300","13586.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.514","0.093","-199.500","13511.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.326","0.096","-136.800","13440.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.344","0.100","-150.900","13353.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.182","0.103","-152.100","13280.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.090","0.106","-126.000","13194.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.954","0.109","-152.400","13124.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.799","0.113","-111.900","13049.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.703","0.116","-147.300","12982.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.504","0.119","-96.300","12922.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.460","0.122","-144.300","12861.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.172","0.125","-96.900","12814.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.174","0.128","-106.800","12758.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.928","0.131","-126.600","12715.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.808","0.134","-81.300","12665.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.696","0.138","-126.600","12617.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.507","0.141","-75.600","12571.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.468","0.144","-125.400","12514.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.209","0.147","-81.000","12467.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.241","0.150","-99.600","12405.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.995","0.154","-116.400","12349.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.924","0.157","-70.800","12286.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.828","0.160","-128.100","12217.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.634","0.163","-72.600","12155.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.634","0.167","-109.500","12079.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.399","0.170","-93.600","12014.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.396","0.173","-78.900","11941.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.240","0.176","-119.400","11866.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.124","0.180","-66.900","11799.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.111","0.183","-107.400","11720.9","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.925","0.186","-94.500","11652.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.900","0.189","-75.000","11581.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.805","0.192","-112.500","11507.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.670","0.195","-74.400","11445.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.645","0.198","-91.200","11374.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.520","0.201","-102.300","11310.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.429","0.204","-61.200","11252.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.410","0.207","-99.900","11185.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.242","0.210","-86.400","11130.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.225","0.213","-57.000","11068.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.155","0.217","-118.200","11003.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.036","0.220","-62.100","10945.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.060","0.224","-101.400","10877.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.925","0.228","-114.600","10810.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.909","0.232","-65.700","10747.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.909","0.236","-129.300","10672.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.787","0.241","-111.300","10603.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.822","0.245","-79.500","10534.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.811","0.249","-147.600","10456.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.703","0.254","-104.100","10386.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.773","0.258","-97.800","10314.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.744","0.263","-169.500","10235.9","8.000","8.000","6.740","4.472","0.146"
