"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.687","0.000","-294.900","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.062","0.000","-281.400","14001.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.530","0.010","-286.800","13993.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.790","0.018","-345.000","14001.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.236","0.023","-234.900","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.621","0.028","-344.400","14000.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.954","0.033","-263.400","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.235","0.037","-241.800","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.375","0.041","-104.700","13997.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.870","0.045","-137.400","14000.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.912","0.048","-215.400","13999.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.048","0.052","-149.400","13997.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.267","0.055","-139.800","14000.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.450","0.059","-181.500","13996.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.472","0.062","-147.900","14002.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.642","0.065","-145.800","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.665","0.068","-147.600","13961.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.738","0.070","-134.700","13902.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.738","0.074","-151.200","13852.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.743","0.078","-125.100","13785.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.733","0.082","-137.700","13727.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.696","0.086","-126.000","13657.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.713","0.090","-177.000","13592.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.625","0.094","-168.600","13521.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.576","0.097","-170.700","13445.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.456","0.100","-130.800","13370.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.420","0.104","-160.500","13285.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.201","0.107","-136.200","13212.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.165","0.110","-133.500","13129.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.961","0.113","-141.900","13063.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.861","0.116","-103.800","12989.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.723","0.119","-132.900","12926.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.523","0.121","-107.400","12867.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.416","0.124","-117.900","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.227","0.127","-94.200","12765.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.121","0.130","-120.600","12710.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.882","0.133","-95.100","12669.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.839","0.136","-89.100","12617.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.631","0.139","-116.400","12569.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.500","0.142","-75.600","12521.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.395","0.145","-109.500","12463.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.219","0.148","-80.100","12414.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.154","0.151","-101.100","12350.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.931","0.154","-95.400","12292.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.904","0.157","-78.300","12226.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.707","0.160","-114.600","12156.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.617","0.164","-71.700","12093.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.524","0.167","-102.900","12016.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.365","0.170","-86.400","11950.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.327","0.173","-83.400","11876.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.162","0.176","-99.900","11801.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.106","0.179","-79.200","11734.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.999","0.182","-92.700","11656.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.891","0.185","-90.600","11587.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.824","0.188","-86.100","11518.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.721","0.191","-86.400","11444.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.616","0.194","-93.000","11384.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.540","0.197","-74.100","11315.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.439","0.200","-99.300","11252.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.349","0.203","-71.700","11196.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.287","0.206","-82.500","11129.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.166","0.209","-84.900","11072.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.130","0.213","-72.300","11011.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.060","0.216","-91.500","10944.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.976","0.220","-94.800","10886.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.939","0.224","-88.500","10817.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.865","0.228","-106.800","10747.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.833","0.232","-105.000","10684.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.793","0.236","-103.500","10608.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.767","0.241","-118.200","10536.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.724","0.245","-108.900","10468.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.715","0.250","-112.500","10389.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.698","0.254","-131.100","10317.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.660","0.259","-121.500","10247.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.653","0.264","-124.800","10168.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.658","0.269","-131.400","10097.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.613","0.273","-138.600","10027.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.617","0.278","-123.000","9948.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.649","0.283","-141.900","9878.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.573","0.288","-144.900","9808.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.617","0.293","-124.800","9729.8","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.625","0.298","-153.600","9658.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.554","0.303","-148.500","9587.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.597","0.308","-126.900","9507.5","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.617","0.313","-158.400","9432.4","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.545","0.319","-157.200","9360.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.580","0.324","-122.700","9279.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.610","0.329","-163.800","9200.8","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.537","0.334","-154.800","9127.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.580","0.339","-131.100","9046.9","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.608","0.344","-163.500","8964.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.563","0.350","-156.300","8889.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.573","0.355","-141.900","8809.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.610","0.360","-154.800","8724.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.569","0.365","-163.500","8644.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.565","0.370","-150.600","8566.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.582","0.376","-152.400","8480.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.576","0.381","-158.100","8394.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.570","0.386","-164.700","8315.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.554","0.392","-154.500","8230.9","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.563","0.397","-149.100","8141.2","8.000","9.000","6.471","4.341","0.200"
