"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.501","0.000","-288.900","14000.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.987","0.000","-270.600","13991.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.306","0.010","-294.600","14000.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.817","0.018","-278.400","13992.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.241","0.023","-294.900","14000.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.609","0.028","-307.200","13994.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.992","0.032","-282.600","13999.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.189","0.037","-217.500","13996.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.433","0.041","-145.500","13998.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.829","0.044","-98.400","13998.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.878","0.048","-236.400","13997.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.040","0.051","-132.900","14000.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.283","0.055","-161.100","13995.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.388","0.058","-144.900","14002.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.496","0.061","-171.300","13996.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.535","0.064","-138.600","13996.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.648","0.066","-139.800","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.661","0.069","-138.900","13907.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.689","0.073","-140.700","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.599","0.077","-148.500","13788.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.680","0.081","-98.700","13719.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.583","0.085","-167.100","13655.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.609","0.088","-135.600","13586.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.502","0.092","-207.900","13512.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.459","0.095","-122.700","13439.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.382","0.098","-167.100","13354.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.248","0.102","-133.500","13281.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.168","0.105","-138.600","13196.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.991","0.108","-132.600","13127.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.909","0.111","-126.300","13051.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.688","0.114","-135.600","12986.3","7.000","7.000","11.722","6.189","0.060"
