"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.437","0.000","-272.700","13996.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.874","0.000","-306.300","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.233","0.010","-255.000","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.757","0.018","-302.700","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.148","0.023","-302.400","14000.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.557","0.028","-286.800","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.985","0.033","-321.900","14001.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.182","0.037","-221.100","13992.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.397","0.041","-147.300","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.660","0.044","-119.700","13995.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.975","0.048","-227.700","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.959","0.051","-139.500","13997.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.243","0.055","-163.200","14000.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.344","0.058","-153.000","13999.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.489","0.061","-167.400","13998.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.518","0.064","-135.300","13992.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.634","0.066","-151.800","13954.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.642","0.069","-129.600","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.703","0.073","-144.300","13841.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.673","0.077","-135.300","13785.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.643","0.081","-117.300","13713.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.634","0.084","-138.600","13652.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.584","0.088","-149.100","13578.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.609","0.092","-203.100","13510.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.434","0.095","-123.000","13430.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.456","0.098","-160.200","13350.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.292","0.101","-132.000","13272.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.222","0.104","-152.100","13190.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.030","0.107","-121.200","13122.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.944","0.110","-134.100","13044.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.734","0.113","-124.200","12983.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.575","0.115","-96.900","12917.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.479","0.118","-147.300","12865.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.172","0.121","-76.500","12814.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.147","0.124","-127.800","12762.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.853","0.127","-96.600","12720.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.758","0.129","-104.700","12666.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.521","0.132","-100.200","12624.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.374","0.135","-91.200","12570.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.226","0.139","-118.200","12520.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","7.983","0.142","-64.200","12468.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.971","0.145","-123.300","12405.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.675","0.148","-84.000","12351.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.631","0.152","-96.000","12282.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.431","0.155","-108.000","12220.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.296","0.159","-85.800","12151.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.190","0.162","-118.800","12078.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.000","0.166","-78.900","12013.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","6.970","0.170","-117.900","11935.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","6.762","0.173","-94.500","11868.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.706","0.177","-93.000","11794.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.588","0.181","-122.400","11718.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.454","0.185","-84.600","11653.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.410","0.189","-114.000","11576.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.269","0.192","-111.000","11510.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.187","0.196","-91.200","11443.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.120","0.200","-123.000","11373.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.001","0.204","-97.200","11316.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","5.942","0.208","-99.900","11251.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","5.870","0.212","-123.000","11189.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","5.762","0.216","-85.500","11134.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","5.742","0.220","-119.100","11068.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","5.621","0.224","-109.200","11009.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.595","0.229","-96.000","10948.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.560","0.234","-151.200","10878.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.457","0.239","-97.500","10817.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.493","0.244","-130.200","10748.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.416","0.249","-153.600","10675.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.367","0.254","-106.500","10609.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.394","0.260","-148.500","10534.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.351","0.265","-159.000","10459.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.315","0.270","-115.200","10391.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.372","0.276","-167.700","10314.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.318","0.282","-159.000","10240.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.313","0.287","-120.000","10171.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.386","0.293","-181.800","10094.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.323","0.299","-156.000","10022.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.356","0.304","-134.700","9954.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.411","0.310","-184.500","9877.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.381","0.316","-165.300","9804.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.383","0.322","-140.100","9736.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.464","0.327","-186.900","9658.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.419","0.333","-172.500","9583.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.426","0.339","-136.200","9513.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.521","0.345","-190.500","9434.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.462","0.350","-177.000","9356.5","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.457","0.356","-142.500","9284.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.545","0.362","-184.200","9205.1","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.512","0.367","-188.100","9123.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.478","0.373","-138.000","9049.0","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.583","0.379","-179.400","8970.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.541","0.384","-188.700","8886.7","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.504","0.390","-147.300","8808.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.581","0.396","-173.100","8731.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.564","0.401","-188.700","8647.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.518","0.407","-156.900","8563.4","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.567","0.412","-162.900","8485.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.580","0.418","-188.400","8402.1","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.526","0.424","-162.900","8314.3","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.553","0.429","-168.000","8231.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.567","0.435","-171.000","8149.1","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.557","0.441","-169.500","8060.3","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.549","0.446","-180.300","7970.2","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.547","0.452","-166.500","7885.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.546","0.458","-164.100","7799.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.544","0.464","-180.600","7707.5","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.530","0.469","-180.000","7615.9","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.507","0.475","-158.100","7529.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.555","0.481","-163.200","7441.4","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.553","0.487","-189.300","7348.5","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.516","0.492","-170.400","7256.6","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.535","0.498","-156.600","7169.5","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.607","0.504","-171.600","7080.7","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.595","0.510","-185.400","6987.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.574","0.516","-169.800","6894.8","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.611","0.522","-164.400","6805.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.659","0.528","-171.600","6720.4","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.665","0.533","-178.500","6637.4","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.668","0.539","-177.600","6557.9","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.676","0.545","-176.100","6483.1","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.699","0.551","-162.600","6411.0","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.743","0.556","-172.200","6335.2","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.738","0.562","-183.300","6259.4","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.711","0.568","-175.500","6185.3","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.720","0.573","-166.200","6113.3","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.760","0.579","-164.400","6040.7","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.771","0.585","-170.400","5964.1","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.773","0.590","-171.900","5886.7","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.765","0.596","-175.500","5809.5","9.000","9.000","6.438","4.275","0.256"
