"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.692","0.000","-311.700","14000.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.206","0.000","-253.800","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.601","0.010","-307.800","14000.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.981","0.018","-288.900","13993.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.429","0.023","-297.000","13999.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.849","0.028","-283.200","13995.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.198","0.032","-324.000","13999.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.391","0.037","-198.000","13997.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.694","0.040","-146.700","13998.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.961","0.044","-123.300","13999.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.149","0.048","-212.100","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.215","0.051","-152.100","14001.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.450","0.054","-157.800","13995.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.507","0.057","-159.600","14003.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.689","0.060","-147.900","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.670","0.063","-171.900","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.769","0.066","-118.800","13952.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.770","0.069","-156.600","13905.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.795","0.072","-126.300","13842.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.694","0.076","-170.400","13785.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.707","0.080","-76.500","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.678","0.084","-176.100","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.598","0.088","-135.600","13583.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.590","0.091","-200.700","13508.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.422","0.095","-128.100","13436.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.459","0.098","-153.000","13350.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.229","0.101","-154.500","13277.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.212","0.105","-117.600","13192.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.992","0.108","-161.100","13123.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.929","0.111","-97.500","13047.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.738","0.114","-153.300","12980.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.618","0.117","-85.500","12920.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.493","0.120","-149.100","12860.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.246","0.123","-90.600","12814.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.249","0.126","-104.700","12758.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.938","0.129","-128.700","12717.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.922","0.132","-70.200","12666.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.687","0.135","-134.700","12619.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.592","0.138","-69.900","12572.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.454","0.141","-123.900","12516.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.264","0.144","-84.000","12468.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.248","0.147","-90.000","12405.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.979","0.150","-115.500","12350.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.994","0.154","-64.500","12286.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.773","0.157","-124.800","12217.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.698","0.160","-71.100","12155.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.610","0.163","-103.500","12079.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.428","0.166","-102.000","12014.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.412","0.170","-71.400","11940.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.223","0.173","-116.700","11866.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.160","0.176","-76.500","11798.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.068","0.179","-93.000","11720.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.939","0.182","-102.300","11652.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.877","0.185","-73.800","11580.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.775","0.188","-103.500","11507.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.668","0.191","-81.300","11445.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.621","0.194","-79.500","11374.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.493","0.197","-106.500","11312.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.419","0.200","-66.300","11254.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.366","0.203","-90.300","11187.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.212","0.206","-99.900","11133.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.203","0.210","-53.400","11071.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.093","0.213","-110.400","11006.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.014","0.217","-76.800","10950.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.994","0.221","-89.700","10882.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.882","0.225","-114.900","10816.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.868","0.229","-81.600","10753.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.841","0.233","-107.400","10678.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.769","0.237","-125.700","10610.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.760","0.242","-88.200","10540.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.761","0.246","-121.200","10462.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.682","0.251","-132.000","10393.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.708","0.255","-102.300","10320.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.701","0.260","-139.500","10242.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.660","0.265","-129.600","10174.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.690","0.270","-120.900","10100.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.671","0.274","-138.000","10023.6","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.647","0.279","-137.100","9956.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.663","0.284","-128.700","9883.2","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.682","0.289","-141.000","9805.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.634","0.294","-141.300","9737.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.676","0.299","-126.600","9664.4","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.693","0.304","-143.700","9585.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.639","0.309","-149.700","9515.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.662","0.314","-135.000","9441.8","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.703","0.319","-143.400","9361.0","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.641","0.324","-163.200","9286.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.627","0.329","-140.100","9212.7","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.668","0.334","-147.300","9131.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.622","0.339","-155.400","9051.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.641","0.344","-138.300","8977.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.642","0.349","-155.700","8895.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.624","0.354","-144.300","8813.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.649","0.359","-146.100","8737.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.651","0.364","-155.400","8656.5","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.642","0.369","-145.200","8570.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.664","0.374","-147.900","8489.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.674","0.380","-158.400","8410.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.661","0.385","-148.800","8323.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.689","0.390","-149.100","8236.3","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.680","0.395","-162.300","8154.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.684","0.400","-147.600","8069.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.689","0.405","-153.900","7979.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.701","0.410","-152.700","7890.2","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.696","0.415","-156.300","7806.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.697","0.421","-150.900","7717.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.713","0.426","-142.500","7624.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.733","0.431","-161.100","7534.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.717","0.436","-159.900","7448.7","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.704","0.441","-149.700","7358.3","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.740","0.446","-144.300","7265.2","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.731","0.451","-166.800","7175.1","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.707","0.456","-159.300","7095.0","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.709","0.461","-143.400","7013.5","8.000","9.000","6.455","4.311","0.226"
