"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.535","0.000","-295.200","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.862","0.000","-286.500","13991.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.353","0.010","-254.100","13999.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.788","0.018","-300.300","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.196","0.023","-299.400","14000.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.589","0.028","-261.900","13995.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.068","0.033","-312.900","13999.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.267","0.037","-216.000","13997.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.532","0.041","-131.400","13997.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.825","0.045","-130.500","13999.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.133","0.048","-204.000","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.163","0.051","-168.900","14001.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.384","0.055","-139.200","13996.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.547","0.058","-163.500","14003.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.652","0.061","-153.300","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.736","0.064","-159.000","13995.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.796","0.066","-119.100","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.880","0.069","-158.400","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.842","0.072","-131.400","13843.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.846","0.076","-149.700","13786.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.768","0.080","-109.200","13719.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.801","0.084","-155.400","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.665","0.087","-147.000","13585.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.690","0.090","-184.500","13509.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.510","0.094","-146.100","13438.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.483","0.097","-132.600","13352.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.338","0.100","-153.600","13279.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.200","0.103","-114.600","13194.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.081","0.106","-147.300","13124.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.896","0.108","-106.200","13048.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.807","0.111","-129.000","12982.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.587","0.114","-97.200","12921.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.535","0.117","-128.100","12860.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.252","0.120","-92.700","12814.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.227","0.122","-94.200","12758.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.014","0.125","-121.200","12716.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.841","0.128","-73.500","12666.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.765","0.131","-108.300","12618.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.553","0.134","-84.900","12572.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.493","0.137","-104.100","12516.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.253","0.140","-79.500","12468.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.248","0.143","-95.700","12406.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.017","0.146","-100.800","12350.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.917","0.149","-72.600","12286.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.826","0.152","-109.500","12218.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.628","0.155","-77.700","12156.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.598","0.158","-96.300","12080.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.404","0.161","-85.800","12014.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.359","0.164","-84.000","11941.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.214","0.167","-95.700","11866.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.111","0.170","-80.700","11799.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.037","0.174","-96.600","11721.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.888","0.177","-85.200","11653.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.823","0.180","-89.700","11581.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.710","0.182","-89.700","11508.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.611","0.185","-81.600","11446.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.530","0.188","-86.700","11375.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.440","0.191","-87.600","11312.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.328","0.194","-79.500","11254.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.270","0.197","-87.300","11187.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.142","0.200","-85.200","11132.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.086","0.204","-70.200","11070.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.013","0.207","-96.300","11006.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.920","0.211","-76.200","10949.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.893","0.215","-100.200","10881.3","7.000","8.000","7.820","4.796","0.128"
