"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.670","0.000","-288.900","13994.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.914","0.000","-331.200","13995.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.179","0.010","-318.600","13991.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.626","0.018","-258.600","13998.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.135","0.023","-301.500","13993.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.467","0.028","-287.400","14002.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.854","0.033","-291.900","13994.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.980","0.037","-234.300","14001.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.296","0.041","-100.200","13993.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.573","0.045","-171.900","14001.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.708","0.049","-183.600","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.763","0.053","-196.800","14001.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.052","0.056","-96.600","13998.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.138","0.060","-213.000","14000.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.229","0.063","-127.200","13999.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.377","0.066","-158.700","13991.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.429","0.069","-130.500","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.542","0.072","-150.300","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.513","0.076","-135.600","13850.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.617","0.081","-128.400","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.552","0.085","-141.300","13726.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.620","0.089","-123.300","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.594","0.093","-177.300","13592.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.658","0.097","-169.800","13516.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.516","0.101","-191.700","13445.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.557","0.104","-113.700","13365.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.467","0.108","-178.500","13283.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.342","0.111","-129.300","13207.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.281","0.114","-153.300","13126.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.090","0.117","-130.800","13060.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.078","0.120","-117.600","12984.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.824","0.122","-144.300","12927.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.788","0.125","-97.800","12865.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.544","0.128","-132.000","12812.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.476","0.131","-87.300","12763.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.281","0.133","-130.800","12710.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.094","0.136","-87.000","12669.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.060","0.139","-93.000","12615.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.767","0.142","-117.000","12571.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.755","0.144","-69.000","12518.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.513","0.147","-113.400","12464.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.451","0.150","-70.500","12412.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.275","0.153","-106.200","12348.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.124","0.155","-73.500","12292.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.082","0.158","-84.300","12223.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.831","0.161","-102.600","12157.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.826","0.164","-61.500","12090.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.639","0.167","-101.700","12015.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.551","0.170","-72.000","11950.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.451","0.173","-90.000","11873.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.303","0.175","-84.600","11802.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.267","0.178","-67.500","11732.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.106","0.181","-99.300","11654.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.024","0.184","-70.200","11589.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.957","0.186","-72.900","11515.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.810","0.189","-97.800","11445.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.752","0.191","-57.600","11383.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.673","0.194","-85.200","11313.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.531","0.197","-81.000","11255.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.517","0.199","-54.000","11193.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.375","0.202","-93.900","11129.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.297","0.205","-56.100","11074.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.284","0.208","-68.100","11009.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.128","0.212","-107.400","10946.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.133","0.215","-51.900","10887.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.076","0.219","-100.200","10816.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.983","0.223","-95.700","10751.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.005","0.226","-68.100","10684.4","8.000","8.000","7.460","4.688","0.134"
