"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.758","0.000","-282.300","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.163","0.000","-325.800","13999.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.516","0.010","-238.500","13994.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.091","0.018","-325.500","13998.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.412","0.023","-288.600","13995.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.922","0.028","-312.600","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.260","0.032","-292.500","13998.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.583","0.037","-232.200","13995.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.750","0.041","-126.600","13999.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.061","0.044","-156.000","13994.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.279","0.048","-200.400","14002.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.342","0.051","-165.900","13995.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.510","0.054","-171.300","14004.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.602","0.057","-157.200","13994.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.702","0.060","-166.800","14003.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.710","0.063","-149.400","13987.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.738","0.066","-171.000","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.646","0.069","-114.600","13901.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.720","0.072","-183.000","13845.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.522","0.076","-123.600","13781.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.486","0.081","-143.100","13716.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.346","0.084","-126.600","13652.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.305","0.088","-190.200","13579.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.150","0.092","-164.700","13513.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.065","0.096","-162.000","13430.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","9.931","0.100","-158.100","13358.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","9.794","0.104","-134.400","13271.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.683","0.107","-162.600","13199.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.482","0.111","-119.400","13121.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.419","0.115","-169.500","13051.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.135","0.119","-104.400","12986.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.112","0.122","-150.300","12921.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","8.879","0.126","-129.900","12871.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","8.757","0.130","-121.800","12812.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.605","0.134","-133.800","12768.6","7.000","7.000","11.278","6.011","0.068"
