"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.607","0.000","-288.600","13995.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.993","0.000","-297.900","13996.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.347","0.010","-296.100","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.595","0.018","-346.200","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.051","0.023","-257.400","13997.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.579","0.028","-291.000","13994.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.816","0.033","-300.900","14001.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.049","0.037","-216.300","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.389","0.041","-87.600","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.731","0.045","-150.000","13993.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.734","0.049","-214.500","14002.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.043","0.052","-129.000","13994.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.155","0.056","-176.400","14002.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.342","0.059","-149.700","13996.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.376","0.062","-177.900","14001.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.532","0.065","-119.100","13990.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.514","0.068","-179.100","13957.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.625","0.071","-107.400","13904.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.585","0.075","-174.900","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.574","0.079","-118.200","13784.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.576","0.083","-141.300","13714.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.541","0.087","-128.100","13654.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.574","0.091","-173.700","13578.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.437","0.095","-192.000","13511.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.459","0.098","-137.100","13427.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.297","0.102","-176.700","13353.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.288","0.105","-123.600","13270.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.090","0.109","-173.100","13193.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.084","0.112","-103.500","13121.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.850","0.115","-175.200","13046.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.746","0.118","-100.200","12987.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.686","0.121","-121.800","12918.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.388","0.124","-146.400","12869.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.403","0.127","-79.200","12813.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.117","0.130","-147.600","12766.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.093","0.133","-78.900","12719.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.833","0.136","-138.000","12668.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.772","0.139","-75.300","12626.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.625","0.142","-112.800","12569.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.394","0.145","-118.200","12524.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.423","0.148","-60.300","12466.3","7.000","7.000","10.611","5.744","0.080"
