"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.884","0.000","-288.300","14000.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.267","0.000","-307.200","13992.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.658","0.010","-286.200","14000.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.122","0.018","-283.200","13993.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.453","0.023","-330.900","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.894","0.028","-262.500","13995.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.223","0.033","-344.100","13998.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.361","0.037","-208.200","13996.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.710","0.041","-121.500","13997.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.990","0.045","-138.600","13999.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.144","0.048","-211.800","13996.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.180","0.052","-159.300","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.477","0.055","-139.500","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.491","0.058","-188.700","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.639","0.061","-137.400","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.661","0.064","-166.800","13995.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.741","0.067","-126.900","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.760","0.070","-152.100","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.781","0.074","-129.900","13843.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.753","0.078","-151.800","13786.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.752","0.082","-102.600","13719.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.737","0.086","-156.600","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.692","0.090","-150.300","13584.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.711","0.094","-191.700","13509.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.560","0.097","-149.700","13438.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.601","0.101","-140.400","13352.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.432","0.104","-156.000","13279.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.382","0.107","-129.600","13194.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.220","0.110","-147.900","13124.7","6.000","7.000","11.944","6.278","0.056"
