"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.571","0.000","-277.800","13993.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.955","0.000","-312.900","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.352","0.010","-240.600","13996.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.885","0.018","-327.300","13998.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.145","0.023","-286.200","13997.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.701","0.028","-272.400","13996.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.033","0.033","-334.200","13999.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.255","0.037","-209.700","13995.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.479","0.041","-117.300","14001.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.816","0.044","-157.200","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.997","0.048","-203.400","14002.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.067","0.052","-146.100","13995.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.299","0.055","-162.900","14003.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.400","0.058","-165.900","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.503","0.061","-156.600","14002.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.548","0.064","-139.200","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.640","0.067","-162.900","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.601","0.069","-122.700","13903.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.680","0.073","-158.400","13845.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.584","0.077","-129.600","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.583","0.081","-137.100","13717.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.478","0.085","-135.300","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.491","0.089","-161.700","13581.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.399","0.093","-196.800","13517.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.289","0.096","-140.400","13434.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.218","0.100","-159.000","13361.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.086","0.103","-137.400","13277.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.976","0.106","-156.300","13202.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.788","0.110","-120.000","13127.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.716","0.113","-150.600","13054.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.458","0.116","-111.600","12992.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.420","0.119","-124.500","12926.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.194","0.123","-133.800","12876.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.053","0.126","-98.400","12817.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.918","0.129","-125.400","12773.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.738","0.132","-107.400","12723.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.616","0.136","-114.300","12674.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.427","0.139","-94.500","12630.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.370","0.143","-123.300","12575.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.106","0.146","-102.300","12530.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.072","0.150","-91.800","12472.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.912","0.153","-121.500","12418.5","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.774","0.157","-92.700","12359.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.703","0.160","-109.200","12293.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.543","0.164","-95.700","12234.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.499","0.168","-111.900","12160.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.313","0.171","-98.100","12095.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.291","0.175","-105.600","12024.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.139","0.179","-111.600","11950.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.060","0.182","-94.500","11884.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.995","0.186","-111.000","11806.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.864","0.189","-93.000","11738.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.835","0.193","-110.700","11666.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.711","0.196","-98.700","11591.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.663","0.200","-93.000","11527.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.578","0.203","-110.700","11454.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.497","0.206","-91.800","11390.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.429","0.210","-102.300","11329.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.352","0.213","-95.100","11262.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.285","0.216","-94.200","11207.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.216","0.220","-92.700","11144.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.136","0.223","-93.900","11081.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.079","0.227","-81.000","11025.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.042","0.231","-115.500","10958.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.946","0.235","-90.000","10895.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.944","0.239","-104.100","10833.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.874","0.243","-114.900","10759.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.844","0.247","-98.700","10694.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.836","0.252","-124.200","10624.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.771","0.256","-118.800","10547.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.774","0.261","-115.800","10480.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.737","0.266","-131.700","10406.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.704","0.270","-121.500","10328.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.717","0.275","-123.000","10260.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.695","0.280","-144.300","10185.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.661","0.285","-120.000","10109.3","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.721","0.290","-129.300","10042.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.683","0.295","-153.900","9967.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.686","0.300","-115.800","9891.1","8.000","9.000","6.496","4.393","0.156"
