"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.719","0.000","-282.300","13992.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.168","0.000","-305.700","13999.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.537","0.010","-270.000","13994.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.038","0.018","-303.300","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.390","0.023","-290.400","13995.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.830","0.028","-312.300","13998.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.217","0.032","-273.000","13997.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.537","0.037","-256.800","13997.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.661","0.041","-97.200","13999.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.045","0.044","-171.300","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.199","0.048","-198.300","14001.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.294","0.051","-152.700","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.483","0.054","-162.300","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.626","0.057","-157.800","13995.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.730","0.060","-157.200","14003.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.786","0.063","-142.200","13987.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.850","0.066","-160.800","13959.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.826","0.069","-111.900","13900.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.900","0.072","-168.300","13845.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.802","0.076","-120.000","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.782","0.080","-142.200","13717.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.697","0.084","-117.900","13651.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.689","0.087","-183.600","13578.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.586","0.091","-162.900","13513.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.517","0.094","-157.200","13431.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.403","0.098","-137.100","13359.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.308","0.101","-144.300","13272.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.158","0.104","-141.300","13201.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.012","0.107","-113.700","13122.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.923","0.110","-155.700","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.672","0.113","-85.500","12986.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.647","0.116","-146.700","12922.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.383","0.119","-101.100","12872.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.301","0.122","-112.800","12814.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.092","0.125","-108.900","12771.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.971","0.128","-95.400","12719.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.828","0.131","-126.300","12673.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.597","0.134","-64.500","12626.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.597","0.138","-134.400","12572.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.291","0.141","-77.400","12527.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.297","0.144","-99.600","12466.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.090","0.147","-109.500","12414.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.983","0.150","-74.700","12352.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.899","0.154","-118.500","12287.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.703","0.157","-69.600","12226.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.708","0.160","-120.900","12151.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.449","0.164","-81.000","12088.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.457","0.167","-91.500","12014.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.313","0.170","-114.300","11942.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.197","0.174","-71.400","11874.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.172","0.177","-113.100","11796.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.990","0.180","-82.200","11730.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.977","0.183","-92.400","11656.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.853","0.187","-101.700","11583.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.770","0.190","-80.700","11519.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.717","0.193","-104.400","11445.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.580","0.196","-87.600","11384.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.516","0.199","-86.700","11321.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.443","0.201","-96.300","11254.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.321","0.205","-77.400","11200.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.285","0.208","-82.500","11135.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.180","0.211","-99.900","11074.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.087","0.215","-57.000","11017.6","7.000","8.000","8.060","4.868","0.124"
