"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.621","0.000","-328.200","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.941","0.000","-257.100","13996.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.446","0.010","-301.800","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.726","0.018","-299.700","14000.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.196","0.023","-263.400","13994.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.562","0.028","-320.400","14002.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.942","0.033","-281.100","13992.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.210","0.037","-226.500","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.385","0.041","-120.300","13994.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.783","0.045","-148.200","14001.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.912","0.048","-195.300","13996.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.034","0.052","-177.600","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.165","0.055","-132.300","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.366","0.059","-184.500","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.390","0.062","-135.300","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.556","0.065","-164.100","13989.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.564","0.068","-124.200","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.694","0.070","-143.700","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.667","0.074","-134.700","13851.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.718","0.078","-133.800","13784.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.691","0.083","-126.600","13727.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.727","0.086","-119.100","13655.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.719","0.090","-178.500","13594.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.711","0.094","-155.700","13519.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.678","0.097","-176.100","13448.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.584","0.100","-110.100","13369.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.625","0.103","-174.300","13288.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.395","0.106","-116.100","13212.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.416","0.109","-141.900","13131.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.185","0.112","-130.500","13065.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.138","0.115","-100.800","12989.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.977","0.117","-137.100","12930.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.817","0.120","-88.800","12867.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.714","0.122","-125.100","12813.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.498","0.124","-72.900","12765.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.473","0.127","-120.000","12712.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.157","0.129","-86.400","12671.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.158","0.132","-76.500","12616.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.922","0.134","-114.600","12573.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.778","0.137","-55.800","12520.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.682","0.139","-105.000","12466.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.468","0.142","-64.500","12416.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.419","0.144","-93.000","12351.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.179","0.147","-71.100","12296.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.158","0.149","-70.800","12227.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.957","0.152","-92.100","12161.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.845","0.154","-55.500","12095.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.765","0.157","-91.500","12020.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.592","0.160","-70.500","11955.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.538","0.162","-73.200","11879.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.387","0.165","-78.000","11807.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.295","0.167","-64.200","11737.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.197","0.170","-81.300","11659.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.089","0.172","-70.800","11594.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.985","0.174","-62.700","11520.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.908","0.177","-81.600","11450.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.782","0.179","-62.100","11388.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.715","0.181","-64.800","11318.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.621","0.184","-75.300","11259.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.511","0.186","-57.900","11198.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.460","0.189","-65.400","11133.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.331","0.191","-68.700","11078.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.270","0.194","-53.100","11013.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.203","0.197","-86.400","10950.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.115","0.201","-66.900","10891.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.084","0.204","-74.100","10820.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.030","0.207","-88.800","10755.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.978","0.211","-77.100","10688.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.954","0.215","-83.700","10612.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.944","0.219","-105.600","10545.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.886","0.223","-90.000","10473.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.906","0.227","-101.100","10395.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.871","0.231","-112.200","10327.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.834","0.235","-96.000","10252.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.860","0.239","-111.900","10175.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.838","0.243","-116.100","10107.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.813","0.247","-106.800","10033.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.851","0.251","-113.700","9956.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.835","0.256","-128.700","9888.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.802","0.260","-105.000","9814.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.879","0.264","-119.400","9737.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.829","0.268","-137.100","9669.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.816","0.273","-105.900","9594.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.895","0.277","-125.400","9515.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.851","0.281","-140.400","9444.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.824","0.286","-104.400","9369.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.905","0.290","-123.900","9288.3","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.857","0.294","-149.100","9213.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.809","0.298","-105.000","9139.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.902","0.303","-127.200","9056.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.860","0.307","-147.900","8977.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.815","0.311","-109.200","8902.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.877","0.316","-120.300","8819.9","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.876","0.320","-146.400","8736.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.813","0.324","-123.300","8660.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.858","0.328","-115.200","8579.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.878","0.333","-135.900","8492.9","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.835","0.337","-135.000","8410.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.836","0.341","-122.700","8331.4","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.855","0.346","-123.300","8244.5","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.851","0.350","-135.600","8156.2","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.831","0.354","-135.000","8073.4","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.822","0.359","-123.600","7988.6","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.839","0.363","-122.700","7898.2","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.862","0.367","-137.100","7808.1","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.805","0.372","-147.600","7723.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.794","0.376","-109.800","7635.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.851","0.380","-127.500","7542.4","8.000","9.000","6.462","4.325","0.214"
