"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.790","0.000","-285.300","14001.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.221","0.000","-300.300","13992.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.568","0.010","-282.300","14001.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.022","0.018","-283.800","13992.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.383","0.023","-309.000","13999.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.841","0.028","-273.000","13994.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.125","0.032","-343.200","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.330","0.037","-181.500","13997.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.614","0.041","-156.000","13999.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.925","0.045","-115.500","13999.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.051","0.048","-233.400","13997.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.115","0.052","-129.000","14000.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.409","0.055","-164.100","13997.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.408","0.058","-166.200","14002.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.623","0.061","-135.900","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.608","0.064","-167.100","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.739","0.067","-119.100","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.724","0.070","-157.200","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.777","0.074","-127.800","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.690","0.078","-165.000","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.705","0.082","-95.100","13719.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.656","0.086","-173.400","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.606","0.090","-139.500","13585.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.604","0.094","-207.000","13512.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.418","0.097","-138.600","13439.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.460","0.101","-152.400","13355.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.258","0.104","-148.500","13281.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.230","0.107","-132.900","13195.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.012","0.110","-151.200","13126.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.958","0.114","-111.900","13049.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.758","0.117","-152.700","12985.3","7.000","7.000","11.722","6.189","0.060"
