"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.796","0.000","-288.000","13993.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.113","0.000","-298.200","13999.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.494","0.010","-291.600","13993.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.918","0.018","-273.300","14000.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.381","0.023","-298.500","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.678","0.028","-309.300","14001.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.117","0.033","-273.600","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.252","0.037","-249.000","14001.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.615","0.041","-88.500","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.885","0.045","-172.200","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.030","0.049","-179.100","13996.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.163","0.052","-175.200","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.393","0.055","-133.800","13998.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.527","0.059","-177.300","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.607","0.062","-143.100","14000.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.747","0.065","-151.200","13989.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.769","0.068","-138.600","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.867","0.070","-144.000","13900.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.825","0.074","-140.400","13849.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.874","0.078","-132.300","13782.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.798","0.082","-140.100","13726.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.828","0.086","-125.700","13653.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.771","0.090","-173.700","13591.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.749","0.093","-172.500","13517.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.604","0.097","-177.600","13446.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.606","0.100","-114.000","13368.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.464","0.103","-177.300","13286.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.326","0.106","-120.600","13211.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.244","0.109","-144.300","13129.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.038","0.112","-126.600","13062.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.980","0.115","-114.900","12985.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.742","0.118","-134.700","12926.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.686","0.121","-97.200","12865.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.441","0.124","-131.400","12811.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.375","0.126","-76.500","12764.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.164","0.129","-134.400","12710.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.006","0.132","-82.500","12669.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.943","0.135","-96.600","12615.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.666","0.138","-116.700","12571.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.655","0.141","-69.600","12519.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.399","0.144","-121.200","12464.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.363","0.147","-63.600","12414.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.164","0.150","-118.500","12348.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.039","0.153","-77.100","12293.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.995","0.156","-82.500","12225.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.741","0.159","-116.400","12157.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.760","0.162","-54.900","12092.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.549","0.165","-116.100","12016.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.489","0.168","-71.100","11951.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.399","0.171","-88.200","11875.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.237","0.174","-102.000","11803.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.218","0.177","-62.700","11734.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.048","0.180","-108.600","11656.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.969","0.183","-76.800","11590.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.908","0.186","-77.400","11517.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.750","0.188","-104.100","11446.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.706","0.191","-60.900","11385.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.618","0.194","-89.100","11315.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.473","0.197","-90.000","11256.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.476","0.200","-52.200","11195.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.314","0.203","-106.500","11129.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.254","0.206","-58.500","11075.3","7.000","8.000","8.180","4.904","0.122"
