"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.614","0.000","-264.000","13994.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.057","0.000","-300.600","13996.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.449","0.010","-269.100","13997.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.897","0.018","-318.600","13995.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.248","0.023","-281.400","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.693","0.028","-312.600","13994.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.011","0.032","-296.400","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.261","0.037","-233.700","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.395","0.041","-125.100","14002.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.751","0.044","-130.800","13994.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.955","0.048","-224.400","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.965","0.052","-148.500","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.159","0.055","-168.000","14002.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.271","0.058","-145.800","13996.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.397","0.061","-172.200","14001.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.396","0.064","-137.700","13989.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.541","0.067","-135.300","13957.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.559","0.070","-134.700","13903.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.630","0.074","-141.300","13842.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.571","0.078","-128.700","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.619","0.082","-116.100","13714.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.590","0.086","-144.300","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.618","0.090","-143.100","13579.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.634","0.094","-197.400","13513.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.524","0.097","-140.100","13430.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.533","0.101","-151.200","13355.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.447","0.104","-135.000","13273.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.404","0.107","-151.200","13196.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.220","0.110","-121.200","13124.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.189","0.113","-136.500","13050.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.972","0.116","-119.100","12989.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.920","0.118","-113.400","12921.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.744","0.121","-132.600","12872.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.557","0.123","-87.300","12816.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.482","0.126","-116.100","12769.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.260","0.129","-93.300","12723.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.172","0.131","-107.700","12671.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.916","0.134","-76.200","12630.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.895","0.136","-100.800","12573.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.637","0.139","-94.200","12527.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.536","0.142","-66.900","12470.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.433","0.144","-113.100","12413.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.196","0.147","-59.700","12356.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.177","0.150","-96.000","12287.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.931","0.153","-76.800","12228.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.910","0.155","-83.700","12155.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.711","0.158","-87.600","12087.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.632","0.161","-56.700","12019.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.565","0.164","-104.400","11942.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.365","0.167","-61.200","11877.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.379","0.169","-82.200","11800.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.209","0.172","-87.000","11728.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.144","0.175","-58.800","11660.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.087","0.177","-98.400","11582.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.930","0.180","-66.000","11519.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.900","0.182","-69.000","11449.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.803","0.185","-95.400","11382.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.675","0.187","-53.400","11324.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.671","0.190","-79.800","11256.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.515","0.192","-79.500","11199.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.459","0.195","-39.000","11140.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.429","0.198","-96.300","11074.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.258","0.201","-50.400","11019.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.287","0.204","-66.300","10953.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.191","0.207","-103.500","10887.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.092","0.210","-54.300","10826.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.139","0.214","-96.000","10754.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.007","0.217","-101.400","10684.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.982","0.221","-58.500","10618.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.020","0.225","-119.400","10540.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.901","0.229","-101.400","10470.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.906","0.233","-67.500","10399.0","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.945","0.237","-138.300","10320.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.819","0.241","-96.300","10250.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.885","0.245","-85.800","10178.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.890","0.249","-152.700","10100.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.783","0.253","-93.300","10032.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.859","0.257","-101.400","9959.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.859","0.262","-154.500","9882.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.765","0.266","-99.600","9813.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.830","0.270","-104.400","9741.6","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.849","0.275","-160.500","9663.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.726","0.279","-99.300","9592.4","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.824","0.283","-111.000","9519.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.834","0.288","-167.700","9439.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.720","0.292","-104.400","9364.8","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.798","0.297","-108.900","9291.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.825","0.301","-169.500","9210.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.694","0.305","-114.900","9131.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.758","0.310","-101.700","9058.0","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.826","0.314","-170.700","8976.3","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.679","0.319","-127.200","8893.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.721","0.323","-105.000","8818.7","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.794","0.328","-158.100","8738.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.687","0.332","-141.600","8653.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.669","0.337","-106.800","8573.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.750","0.342","-149.700","8494.5","8.000","9.000","6.475","4.351","0.192"
