"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.735","0.000","-240.600","13992.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.063","0.000","-312.900","14001.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.432","0.010","-298.500","13993.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.825","0.018","-286.500","14001.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.340","0.023","-270.300","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.696","0.028","-316.200","13999.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.696","0.033","-283.200","13994.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.248","0.037","-221.700","13999.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.545","0.041","-123.300","13997.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.854","0.045","-138.000","13999.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.922","0.049","-209.400","13999.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.103","0.052","-155.700","13997.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.332","0.056","-140.100","14000.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.433","0.059","-183.600","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.507","0.062","-153.000","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.614","0.065","-144.000","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.637","0.068","-146.400","13961.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.667","0.071","-149.400","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.634","0.074","-149.100","13850.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.620","0.079","-133.200","13785.2","6.000","6.000","12.250","6.500","0.038"
