"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.842","0.000","-282.000","13996.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.212","0.000","-312.900","13996.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.724","0.010","-247.800","13997.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.060","0.018","-341.700","13994.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.458","0.023","-261.600","13999.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.967","0.028","-300.300","13995.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.188","0.032","-326.400","14001.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.483","0.037","-187.200","13994.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.684","0.041","-152.100","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.091","0.044","-116.100","13994.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.117","0.048","-239.400","14002.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.271","0.051","-130.500","13995.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.469","0.055","-168.900","14001.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.563","0.058","-158.400","13997.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.622","0.061","-175.200","14001.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.670","0.064","-130.800","13990.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.763","0.067","-156.300","13956.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.731","0.070","-135.000","13903.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.769","0.073","-150.600","13840.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.665","0.077","-133.200","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.734","0.082","-119.100","13712.5","6.000","6.000","12.313","6.500","0.040"
