"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.740","0.000","-310.200","13999.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.183","0.000","-275.100","13993.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.480","0.010","-313.800","13999.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.933","0.018","-256.800","13994.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.406","0.023","-298.800","13998.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.726","0.028","-306.600","13996.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.082","0.033","-309.300","13997.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.317","0.037","-180.300","13999.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.495","0.041","-190.500","13995.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.810","0.045","-94.200","14000.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.987","0.048","-226.200","13995.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.018","0.052","-148.800","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.296","0.055","-158.700","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.312","0.058","-162.300","14003.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.467","0.061","-157.500","13995.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.451","0.064","-155.700","13995.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.543","0.067","-134.400","13954.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.530","0.070","-152.100","13905.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.587","0.074","-122.100","13844.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.502","0.079","-165.300","13786.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.493","0.083","-98.700","13722.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.467","0.087","-163.800","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.434","0.091","-140.700","13589.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.407","0.095","-220.500","13511.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.240","0.099","-139.200","13442.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.312","0.103","-150.000","13356.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.088","0.106","-163.200","13282.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.067","0.110","-131.700","13198.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.881","0.113","-158.100","13126.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.798","0.116","-120.600","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.612","0.120","-159.000","12982.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.493","0.123","-94.500","12924.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.383","0.126","-162.300","12861.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.126","0.129","-100.800","12814.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.131","0.133","-114.900","12759.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.814","0.136","-140.400","12715.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.801","0.139","-80.700","12666.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.553","0.143","-150.300","12617.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.438","0.146","-72.900","12572.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.325","0.150","-142.200","12515.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.081","0.153","-91.200","12468.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.101","0.156","-99.300","12407.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.790","0.160","-134.100","12350.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.798","0.164","-64.800","12289.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.604","0.167","-142.800","12219.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.481","0.171","-79.500","12158.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.439","0.174","-113.700","12083.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.217","0.178","-115.800","12016.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.248","0.182","-75.900","11945.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.054","0.185","-137.400","11869.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.982","0.189","-77.400","11802.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.953","0.193","-107.100","11724.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.776","0.196","-119.700","11653.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.776","0.200","-70.200","11584.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.669","0.203","-134.700","11508.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.544","0.207","-87.900","11445.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.563","0.210","-86.100","11375.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.406","0.213","-133.800","11310.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.352","0.217","-60.600","11253.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.313","0.220","-117.600","11186.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.142","0.224","-105.300","11129.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.172","0.228","-61.800","11069.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.055","0.231","-136.800","11003.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.948","0.235","-80.700","10947.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.997","0.240","-93.000","10880.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.832","0.244","-145.200","10812.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.848","0.248","-69.600","10750.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.857","0.253","-131.400","10676.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.708","0.257","-140.700","10606.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.786","0.262","-67.200","10538.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.773","0.267","-162.000","10460.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.623","0.272","-141.000","10389.1","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.753","0.277","-77.400","10318.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.695","0.282","-191.100","10239.4","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.580","0.287","-121.500","10169.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.739","0.292","-97.500","10097.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.638","0.297","-203.400","10019.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.560","0.302","-115.500","9950.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.720","0.307","-110.100","9879.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.616","0.312","-209.700","9801.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.525","0.317","-121.800","9732.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.720","0.323","-112.500","9661.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.597","0.328","-218.700","9582.3","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.502","0.333","-124.800","9509.5","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.706","0.338","-114.300","9438.2","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.582","0.344","-217.800","9358.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.474","0.349","-142.500","9281.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.662","0.354","-107.100","9209.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.599","0.360","-211.800","9128.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.433","0.365","-161.700","9047.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.619","0.371","-106.500","8974.2","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.617","0.376","-192.300","8894.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.467","0.382","-176.400","8810.8","8.000","9.000","6.480","4.360","0.184"
