"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.808","0.000","-304.500","13998.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.149","0.000","-310.500","13992.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.584","0.010","-255.900","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.036","0.018","-318.000","13993.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.344","0.023","-301.200","14001.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.811","0.028","-289.200","13993.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.158","0.033","-305.700","14001.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.336","0.037","-224.100","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.531","0.041","-134.400","14000.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.940","0.045","-114.300","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.007","0.048","-237.000","14001.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.134","0.052","-133.500","13998.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.365","0.055","-170.400","13999.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.448","0.058","-148.200","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.562","0.062","-177.300","13997.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.577","0.065","-134.400","13992.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.663","0.067","-158.100","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.650","0.070","-135.300","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.711","0.074","-143.700","13840.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.608","0.078","-146.700","13786.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.673","0.083","-108.900","13715.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.549","0.087","-160.200","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.590","0.091","-144.600","13580.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.495","0.094","-213.600","13512.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.393","0.098","-140.100","13434.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.355","0.102","-162.000","13354.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.233","0.105","-135.000","13277.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.152","0.109","-159.900","13194.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.971","0.112","-130.200","13126.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.922","0.115","-133.800","13048.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.679","0.118","-135.900","12988.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.659","0.122","-112.200","12924.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.386","0.125","-152.400","12871.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.317","0.128","-78.600","12820.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.161","0.131","-147.900","12767.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.953","0.134","-93.900","12726.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.915","0.137","-107.400","12671.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.657","0.141","-113.100","12629.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.659","0.144","-89.400","12576.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.381","0.147","-128.100","12525.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.389","0.150","-63.300","12474.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.210","0.154","-138.000","12411.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.040","0.157","-82.200","12358.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.051","0.160","-88.800","12289.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.796","0.164","-121.800","12227.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.814","0.167","-72.000","12158.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.618","0.170","-122.100","12085.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.571","0.173","-77.400","12021.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.486","0.177","-102.000","11944.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.312","0.180","-100.500","11876.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.319","0.183","-78.300","11803.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.138","0.186","-118.500","11728.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.071","0.189","-76.500","11662.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.025","0.192","-89.700","11586.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.859","0.195","-108.000","11520.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.831","0.198","-59.400","11454.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.752","0.201","-106.800","11383.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.602","0.204","-86.700","11326.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.611","0.207","-65.700","11261.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.446","0.209","-112.200","11199.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.379","0.213","-60.000","11144.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.349","0.216","-79.500","11077.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.175","0.219","-102.300","11018.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.202","0.223","-51.300","10957.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.097","0.226","-125.100","10887.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.999","0.230","-82.200","10827.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.049","0.234","-78.300","10758.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.917","0.238","-134.400","10685.4","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.890","0.242","-81.600","10620.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.928","0.247","-102.000","10545.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.813","0.251","-138.000","10470.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.828","0.255","-85.200","10403.2","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.838","0.260","-135.600","10325.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.709","0.264","-139.200","10252.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.791","0.269","-84.600","10183.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.759","0.274","-157.200","10106.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.667","0.278","-129.000","10034.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.757","0.283","-97.800","9966.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.726","0.288","-160.500","9889.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.665","0.293","-130.200","9816.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.745","0.298","-109.800","9748.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.742","0.302","-162.900","9670.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.667","0.307","-134.400","9595.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.766","0.312","-116.100","9525.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.745","0.317","-166.500","9446.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.684","0.322","-137.100","9368.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.767","0.327","-126.000","9296.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.766","0.332","-162.300","9217.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.690","0.337","-148.500","9135.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.763","0.342","-122.700","9061.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.791","0.347","-158.100","8983.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.714","0.352","-152.400","8899.3","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.768","0.357","-126.600","8820.8","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.799","0.361","-154.500","8744.2","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.761","0.366","-152.700","8659.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.766","0.371","-139.500","8576.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.797","0.376","-144.900","8498.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.780","0.381","-151.800","8414.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.776","0.386","-146.100","8327.3","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.756","0.391","-148.200","8244.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.786","0.396","-140.100","8162.4","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.796","0.401","-150.900","8073.9","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.744","0.406","-159.000","7984.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.767","0.410","-130.800","7900.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.797","0.415","-146.400","7813.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.770","0.420","-164.100","7720.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.726","0.425","-143.700","7629.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.764","0.430","-141.600","7543.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.767","0.435","-152.700","7455.0","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.719","0.440","-164.700","7362.3","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.692","0.445","-140.100","7270.8","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.741","0.450","-140.700","7183.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.746","0.455","-157.200","7095.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.702","0.460","-160.800","7002.4","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.673","0.466","-145.200","6909.4","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.703","0.471","-144.600","6820.9","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.708","0.476","-160.800","6733.2","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.679","0.481","-157.200","6641.4","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.668","0.486","-152.100","6549.2","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.648","0.491","-153.300","6468.3","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.676","0.497","-147.000","6392.8","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.670","0.502","-160.200","6313.7","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.630","0.507","-165.300","6236.7","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.609","0.512","-149.400","6162.1","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.632","0.518","-148.200","6090.4","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.639","0.523","-165.900","6018.8","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.598","0.528","-167.100","5943.1","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.591","0.534","-155.100","5867.5","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.574","0.539","-157.800","5792.2","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.585","0.545","-157.200","5718.5","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.607","0.550","-158.400","5644.2","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.619","0.556","-160.500","5565.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.607","0.561","-165.000","5486.3","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.584","0.567","-167.400","5407.0","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.574","0.572","-160.200","5329.1","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.624","0.578","-153.000","5252.3","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.635","0.583","-173.700","5173.2","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.609","0.589","-167.400","5091.5","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.614","0.594","-164.100","5010.9","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.611","0.600","-161.400","4930.1","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.617","0.605","-164.400","4850.7","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.636","0.611","-161.100","4772.8","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.668","0.617","-164.400","4692.6","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.665","0.622","-170.700","4610.3","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.653","0.628","-172.800","4528.5","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.627","0.633","-168.900","4446.4","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.627","0.639","-163.500","4366.7","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.643","0.644","-165.300","4286.9","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.652","0.650","-164.400","4206.6","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.653","0.656","-165.300","4125.5","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.654","0.661","-170.400","4043.2","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.640","0.667","-177.300","3961.8","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.613","0.673","-171.000","3879.4","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.598","0.678","-171.300","3798.3","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.583","0.684","-172.800","3717.5","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.594","0.690","-164.700","3637.6","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.572","0.695","-175.500","3556.1","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.570","0.701","-166.500","3474.6","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.547","0.707","-177.000","3392.1","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.494","0.713","-186.300","3310.5","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.451","0.719","-185.100","3227.4","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.419","0.724","-171.000","3145.6","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.396","0.730","-181.200","3065.0","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.381","0.736","-173.700","2984.2","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.365","0.743","-179.100","2903.6","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.338","0.749","-175.200","2822.5","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.311","0.755","-189.000","2740.3","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.262","0.761","-186.900","2658.6","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.231","0.768","-189.300","2576.5","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.185","0.774","-200.400","2494.4","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.112","0.781","-201.300","2413.0","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","5.053","0.788","-199.800","2330.7","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","5.006","0.794","-196.200","2248.6","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","4.978","0.801","-194.100","2168.1","10.000","10.000","6.400","4.200","0.346"
"174","2","6.000","4.939","0.808","-195.000","2086.6","10.000","10.000","6.400","4.200","0.348"
"175","2","6.000","4.888","0.815","-207.600","2004.5","10.000","10.000","6.400","4.200","0.350"
"176","3","6.160","4.833","0.823","-208.500","1922.9","11.000","11.000","6.400","4.200","0.352"
"177","3","6.320","4.778","0.830","-212.400","1840.9","11.000","11.000","6.317","4.000","0.354"
"178","3","6.480","4.739","0.837","-215.100","1757.5","11.000","11.000","6.233","3.800","0.356"
"179","3","6.640","4.673","0.847","-226.500","1674.7","11.000","11.000","6.150","3.600","0.358"
"180","3","6.800","4.574","0.860","-233.700","1593.6","11.000","11.000","6.067","3.400","0.360"
"181","3","6.960","4.490","0.878","-230.400","1511.7","11.000","11.000","5.983","3.200","0.362"
"182","3","7.120","4.409","0.898","-249.000","1427.5","12.000","12.000","5.900","3.000","0.364"
"183","3","7.280","4.453","0.918","-337.800","1344.1","12.000","12.000","5.800","2.833","0.366"
"184","3","7.440","4.521","0.938","-521.400","1260.9","12.000","12.000","5.700","2.667","0.368"
"185","3","7.600","4.296","0.958","-694.800","1175.3","12.000","13.000","5.600","2.500","0.370"
"186","3","7.760","3.965","0.978","-681.300","1090.6","12.000","13.000","5.417","2.417","0.372"
"187","3","7.920","3.807","0.998","-606.600","1010.3","13.000","13.000","5.233","2.333","0.374"
"188","3","8.080","3.705","1.018","-626.400","930.7","13.000","13.000","5.050","2.250","0.376"
"189","3","8.240","3.388","1.038","-666.600","850.8","13.000","13.000","4.867","2.167","0.378"
"190","3","8.400","3.104","1.058","-613.800","770.6","13.000","13.000","4.683","2.083","0.380"
"191","3","8.560","2.998","1.078","-579.300","691.4","13.000","14.000","4.500","2.000","0.382"
"192","3","8.720","2.923","1.098","-589.500","612.9","13.000","14.000","4.750","2.000","0.384"
"193","3","8.880","2.848","1.118","-579.900","534.6","13.000","14.000","5.000","2.000","0.386"
"194","3","9.040","2.859","1.138","-547.800","456.0","13.000","14.000","5.250","2.000","0.388"
"195","3","9.200","2.980","1.158","-527.700","377.4","14.000","15.000","5.500","2.000","0.390"
