"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.521","0.000","-267.900","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.004","0.000","-284.400","13993.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.237","0.010","-339.900","13999.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.760","0.018","-248.100","13995.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.190","0.023","-306.000","13998.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.477","0.028","-318.600","13997.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.857","0.033","-277.800","13996.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.003","0.037","-237.300","13998.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.350","0.041","-108.000","13995.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.633","0.045","-141.000","14001.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.750","0.048","-211.500","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.865","0.052","-140.700","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.119","0.055","-160.800","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.205","0.058","-157.500","14003.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.311","0.062","-163.200","13994.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.429","0.065","-132.900","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.523","0.068","-143.700","13954.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.507","0.071","-156.900","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.570","0.074","-125.400","13846.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.531","0.079","-148.500","13786.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.543","0.083","-118.800","13723.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.480","0.087","-165.000","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.494","0.091","-141.900","13591.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.430","0.094","-198.900","13515.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.311","0.098","-152.100","13447.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.316","0.101","-150.600","13361.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.133","0.105","-152.700","13288.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.059","0.108","-144.000","13204.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.853","0.111","-152.700","13130.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.807","0.114","-112.200","13057.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.606","0.117","-145.800","12985.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.492","0.120","-106.500","12926.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.320","0.124","-140.100","12860.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.156","0.127","-101.700","12812.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.072","0.130","-116.700","12756.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.816","0.133","-124.500","12711.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.793","0.136","-83.400","12663.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.556","0.139","-128.700","12612.8","7.000","7.000","10.944","5.878","0.074"
