"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.671","0.000","-297.300","14000.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.050","0.000","-307.500","13992.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.453","0.010","-275.400","14001.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.881","0.018","-287.100","13993.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.320","0.023","-307.200","14000.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.701","0.028","-300.600","13995.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.082","0.033","-301.500","14001.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.350","0.037","-190.800","13997.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.617","0.041","-169.500","13999.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.846","0.045","-117.600","13998.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.122","0.048","-220.800","13997.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.149","0.052","-152.100","14000.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.376","0.055","-174.600","13996.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.419","0.058","-149.400","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.566","0.061","-157.500","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.602","0.064","-167.400","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.611","0.067","-135.300","13953.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.647","0.070","-140.400","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.646","0.073","-139.200","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.586","0.077","-161.100","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.492","0.082","-96.900","13718.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.537","0.086","-159.600","13654.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.407","0.089","-152.100","13585.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.414","0.093","-199.200","13511.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.252","0.097","-135.900","13439.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.248","0.100","-158.700","13353.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.092","0.104","-147.300","13280.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.010","0.107","-131.700","13194.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.873","0.111","-149.100","13125.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.725","0.114","-121.200","13048.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.635","0.117","-137.400","12984.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.452","0.120","-106.200","12921.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.405","0.124","-148.800","12860.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.137","0.127","-86.700","12813.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.152","0.130","-122.100","12757.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.918","0.133","-117.300","12716.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.808","0.137","-90.600","12664.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.707","0.140","-125.100","12618.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.512","0.143","-88.500","12570.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.474","0.146","-122.700","12515.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.244","0.150","-80.700","12468.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.266","0.153","-116.700","12405.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.022","0.156","-94.800","12351.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.979","0.159","-82.500","12286.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.871","0.163","-123.000","12219.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.697","0.166","-71.100","12156.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.688","0.169","-115.200","12080.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.477","0.172","-83.100","12016.1","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.472","0.175","-96.300","11941.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.305","0.179","-110.400","11867.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.214","0.182","-68.700","11800.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.169","0.185","-114.600","11720.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.997","0.188","-83.400","11654.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.961","0.191","-86.100","11580.5","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.833","0.194","-105.000","11507.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.725","0.197","-72.300","11444.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.681","0.200","-96.600","11372.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.547","0.202","-89.100","11311.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.477","0.205","-67.200","11251.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.407","0.208","-108.000","11185.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.255","0.211","-61.800","11130.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.243","0.215","-80.400","11067.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.123","0.218","-104.700","11003.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.018","0.222","-60.000","10947.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.040","0.225","-114.000","10878.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.890","0.229","-93.600","10813.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.896","0.233","-75.000","10749.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.868","0.238","-130.800","10674.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.766","0.242","-90.300","10607.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.805","0.246","-99.000","10536.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.755","0.251","-147.000","10458.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.680","0.255","-94.500","10390.0","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.746","0.260","-125.400","10316.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.687","0.265","-153.000","10238.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.624","0.270","-90.300","10170.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.711","0.274","-147.300","10095.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.630","0.279","-148.500","10018.6","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.611","0.284","-98.100","9951.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.678","0.289","-159.300","9876.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.621","0.294","-150.900","9800.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.590","0.299","-105.000","9732.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.679","0.304","-162.000","9658.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.617","0.309","-163.800","9579.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.566","0.314","-107.100","9509.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.668","0.319","-162.000","9434.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.604","0.324","-162.300","9353.8","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.570","0.329","-121.200","9280.3","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.657","0.335","-151.200","9205.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.630","0.340","-177.600","9123.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.552","0.345","-128.700","9045.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.652","0.350","-141.600","8970.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.638","0.355","-179.400","8887.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.567","0.360","-132.000","8805.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.638","0.365","-146.700","8729.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.648","0.371","-170.700","8648.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.604","0.376","-146.400","8563.0","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.633","0.381","-144.600","8482.6","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.671","0.386","-165.000","8402.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.641","0.391","-154.200","8316.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.645","0.397","-153.300","8229.3","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.650","0.402","-156.000","8147.9","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.665","0.407","-153.900","8061.9","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.651","0.412","-165.900","7971.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.638","0.418","-153.600","7883.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.661","0.423","-140.400","7799.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.684","0.428","-170.700","7709.8","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.661","0.433","-157.200","7616.9","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.656","0.439","-145.500","7527.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.703","0.444","-151.200","7441.8","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.704","0.449","-175.200","7356.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.669","0.454","-153.300","7269.7","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.676","0.459","-153.900","7186.3","8.000","9.000","6.458","4.315","0.222"
