"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.618","0.000","-245.400","13996.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.000","0.000","-333.300","13996.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.394","0.010","-240.600","13998.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.870","0.018","-323.700","13994.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.159","0.023","-291.600","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.644","0.028","-298.800","13994.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.930","0.033","-316.500","14001.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.158","0.037","-220.800","13993.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.329","0.041","-126.000","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.722","0.045","-138.300","13993.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.759","0.048","-224.100","14001.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.841","0.052","-148.500","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.072","0.055","-156.900","14001.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.182","0.059","-162.900","13998.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.265","0.062","-162.600","14000.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.396","0.065","-118.800","13991.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.479","0.068","-165.300","13956.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.516","0.071","-106.500","13905.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.601","0.075","-163.800","13842.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.555","0.079","-113.100","13785.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.637","0.083","-132.300","13713.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.566","0.087","-131.700","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.680","0.091","-154.200","13578.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.604","0.095","-199.200","13511.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.606","0.099","-137.100","13428.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.561","0.102","-160.500","13351.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.496","0.105","-132.300","13271.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.396","0.108","-167.400","13192.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.262","0.111","-109.500","13122.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.207","0.114","-153.000","13045.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.960","0.117","-118.200","12986.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.971","0.119","-111.300","12918.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.689","0.122","-139.200","12867.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.638","0.125","-80.100","12813.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.440","0.127","-135.900","12764.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.283","0.130","-76.500","12720.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.175","0.132","-117.300","12667.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.934","0.135","-79.200","12625.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.914","0.138","-96.900","12570.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.589","0.140","-105.300","12522.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.598","0.143","-55.200","12466.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.359","0.146","-128.400","12406.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.219","0.148","-54.300","12351.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.154","0.151","-100.200","12281.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.914","0.154","-79.500","12220.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.912","0.157","-77.100","12149.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.648","0.160","-105.900","12078.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.628","0.162","-48.600","12011.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.479","0.165","-108.900","11933.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.318","0.168","-68.700","11867.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.302","0.171","-75.300","11791.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.103","0.174","-101.100","11717.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.060","0.177","-54.600","11650.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.950","0.179","-99.300","11572.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.807","0.182","-80.400","11508.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.771","0.185","-63.000","11439.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.631","0.187","-108.000","11370.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.528","0.190","-52.200","11313.5","7.000","8.000","8.660","5.048","0.114"
