"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.766","0.000","-322.500","14000.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.072","0.000","-294.900","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.502","0.010","-270.600","13999.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.954","0.018","-288.600","13994.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.401","0.023","-326.700","13999.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.759","0.028","-271.800","13996.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.175","0.033","-332.100","13999.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.418","0.037","-188.100","13998.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.709","0.041","-165.600","13996.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.922","0.045","-125.700","13999.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.237","0.048","-204.000","13995.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.266","0.052","-173.400","14002.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.459","0.055","-148.800","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.592","0.058","-162.600","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.709","0.061","-152.400","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.777","0.064","-172.500","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.771","0.067","-124.500","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.852","0.070","-151.500","13906.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.812","0.073","-134.100","13845.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.812","0.077","-158.100","13787.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.727","0.081","-99.600","13722.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.752","0.085","-163.500","13656.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.618","0.089","-143.700","13590.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.656","0.092","-194.100","13514.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.482","0.096","-147.000","13445.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.446","0.099","-144.600","13359.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.322","0.102","-149.100","13285.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.177","0.106","-131.100","13200.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.073","0.109","-153.000","13129.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.880","0.112","-107.400","13054.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.807","0.115","-146.100","12985.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.564","0.118","-95.400","12923.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.514","0.121","-140.400","12859.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.238","0.124","-93.600","12812.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.198","0.127","-105.900","12756.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.986","0.130","-127.800","12713.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.812","0.133","-77.700","12663.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.741","0.136","-127.800","12615.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.498","0.139","-77.400","12570.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.458","0.143","-125.400","12514.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.197","0.146","-78.900","12467.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.189","0.149","-104.400","12406.0","7.000","7.000","10.500","5.700","0.082"
