"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.717","0.000","-317.400","13998.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.052","0.000","-270.000","13995.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.602","0.010","-279.600","13997.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.970","0.018","-325.800","13997.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.384","0.023","-277.200","13995.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.826","0.028","-300.600","13999.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.230","0.032","-308.100","13994.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.482","0.037","-223.500","14001.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.665","0.041","-117.900","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.065","0.044","-148.200","14003.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.233","0.048","-214.200","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.329","0.051","-152.400","14003.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.513","0.054","-153.300","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.697","0.058","-168.300","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.759","0.060","-148.500","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.893","0.063","-151.200","13993.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.916","0.066","-130.200","13956.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","11.025","0.069","-145.800","13904.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","11.001","0.072","-134.700","13848.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.993","0.076","-143.100","13786.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.938","0.080","-117.900","13727.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.917","0.083","-146.700","13656.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.839","0.087","-155.100","13594.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.792","0.090","-184.200","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.659","0.093","-151.800","13449.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.538","0.096","-127.200","13366.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.483","0.099","-156.600","13289.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.271","0.102","-117.600","13208.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.188","0.105","-143.700","13131.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.966","0.108","-106.800","13061.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.862","0.110","-129.900","12986.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.656","0.113","-98.100","12928.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.532","0.116","-126.600","12863.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.293","0.119","-98.700","12814.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.163","0.122","-89.700","12761.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.033","0.125","-129.300","12712.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.770","0.128","-67.500","12668.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.723","0.131","-114.300","12616.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.480","0.134","-85.800","12574.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.402","0.137","-102.600","12518.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.188","0.140","-88.500","12469.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.121","0.143","-86.100","12413.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.972","0.146","-120.600","12352.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.781","0.150","-56.100","12296.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.784","0.153","-120.000","12225.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.524","0.156","-84.600","12164.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.513","0.160","-86.100","12092.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.355","0.163","-112.500","12020.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.254","0.166","-67.800","11954.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.204","0.170","-114.000","11876.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.017","0.173","-80.400","11809.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.018","0.176","-97.800","11733.9","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.860","0.179","-100.200","11659.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.793","0.183","-79.800","11593.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.720","0.186","-109.500","11516.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.591","0.189","-80.700","11451.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.552","0.192","-90.600","11384.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.453","0.195","-99.600","11315.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.356","0.198","-77.400","11258.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.317","0.201","-91.500","11193.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.202","0.205","-93.600","11132.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.138","0.208","-66.300","11077.2","7.000","8.000","8.180","4.904","0.122"
