"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.704","0.000","-249.600","13994.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.246","0.000","-332.400","14000.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.523","0.010","-280.500","13994.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.998","0.018","-274.800","13997.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.404","0.023","-320.700","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.775","0.028","-296.100","13997.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.153","0.032","-294.900","13999.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.403","0.037","-245.700","13996.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.577","0.041","-87.600","14001.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.918","0.044","-181.200","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.104","0.048","-183.300","14002.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.201","0.051","-161.700","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.355","0.055","-155.100","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.531","0.058","-145.500","13994.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.652","0.061","-180.300","14002.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.655","0.064","-114.900","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.797","0.066","-170.100","13959.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.748","0.069","-120.900","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.839","0.073","-153.300","13844.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.761","0.077","-116.100","13782.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.776","0.081","-146.400","13716.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.703","0.085","-112.200","13652.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.722","0.088","-169.800","13578.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.681","0.092","-171.300","13513.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.593","0.095","-157.200","13431.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.517","0.099","-139.800","13358.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.430","0.102","-127.800","13272.9","6.000","7.000","12.167","6.367","0.052"
