"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.749","0.000","-312.900","13994.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.067","0.000","-279.000","13997.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.568","0.010","-294.900","13992.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.946","0.018","-293.400","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.428","0.023","-287.400","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.761","0.028","-308.700","14002.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.244","0.033","-275.400","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.386","0.037","-251.400","14001.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.670","0.041","-90.000","13993.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.075","0.045","-172.800","14000.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.150","0.048","-194.400","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.306","0.052","-171.300","14001.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.518","0.055","-130.500","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.680","0.058","-195.600","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.693","0.061","-134.100","13999.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.880","0.064","-158.100","13989.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.860","0.066","-140.100","13959.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.960","0.069","-148.200","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.919","0.073","-132.000","13850.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.951","0.077","-139.800","13783.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.864","0.080","-133.500","13727.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.874","0.084","-121.500","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.823","0.088","-174.300","13593.7","6.000","6.000","12.438","6.500","0.044"
