"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.527","0.000","-264.000","13992.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.960","0.000","-312.600","14000.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.353","0.010","-249.000","13993.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.836","0.018","-331.200","14000.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.164","0.023","-265.800","13994.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.657","0.028","-318.600","13998.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.002","0.032","-278.100","13997.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.323","0.037","-259.200","13998.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.395","0.041","-95.100","13999.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.842","0.044","-159.300","13996.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.947","0.048","-219.300","14001.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.015","0.051","-153.600","13996.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.175","0.055","-150.900","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.346","0.058","-170.700","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.382","0.061","-155.100","14003.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.478","0.064","-132.900","13987.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.550","0.067","-166.200","13960.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.539","0.069","-110.100","13902.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.582","0.073","-167.400","13848.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.508","0.077","-114.300","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.535","0.081","-146.700","13722.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.430","0.085","-110.700","13656.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.498","0.089","-183.900","13585.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.381","0.093","-168.600","13518.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.360","0.096","-160.500","13438.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.240","0.100","-136.200","13365.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.223","0.103","-145.500","13279.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.055","0.107","-156.300","13207.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.926","0.110","-110.400","13127.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.846","0.113","-163.800","13059.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.599","0.116","-92.400","12992.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.601","0.119","-148.800","12927.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.315","0.122","-105.300","12875.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.279","0.125","-114.900","12815.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.047","0.128","-113.400","12772.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.963","0.131","-94.500","12719.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.789","0.134","-129.600","12675.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.603","0.137","-64.500","12627.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.605","0.140","-136.200","12575.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.286","0.143","-79.800","12530.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.311","0.147","-95.700","12470.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.088","0.150","-114.000","12420.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.998","0.153","-73.800","12358.0","7.000","7.000","10.389","5.656","0.084"
