"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.710","0.000","-292.200","13996.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.067","0.000","-295.500","13994.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.496","0.010","-277.800","13997.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.905","0.018","-323.100","13993.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.666","0.023","-278.700","14000.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.666","0.028","-310.200","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.054","0.033","-309.300","14002.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.301","0.037","-206.100","13993.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.505","0.041","-158.100","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.708","0.044","-117.900","13995.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.056","0.048","-221.100","14001.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.039","0.052","-145.500","13996.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.237","0.055","-159.600","14000.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.376","0.058","-157.200","13998.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.489","0.061","-164.700","14000.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.542","0.064","-138.300","13991.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.630","0.067","-143.100","13955.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.683","0.070","-135.000","13904.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.716","0.074","-144.900","13840.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.654","0.078","-135.000","13784.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.654","0.082","-116.100","13713.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.602","0.086","-148.500","13651.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.639","0.090","-151.200","13575.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.499","0.094","-198.000","13509.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.496","0.097","-136.200","13427.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.364","0.101","-160.500","13349.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.300","0.104","-135.600","13270.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.300","0.107","-152.100","13190.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.024","0.110","-132.000","13121.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.882","0.114","-135.600","13045.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.754","0.117","-119.100","12985.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.684","0.119","-112.500","12920.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.402","0.123","-143.400","12870.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.413","0.126","-79.500","12817.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.162","0.129","-129.900","12768.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.091","0.132","-92.400","12725.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.917","0.135","-111.600","12672.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.788","0.138","-100.500","12630.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.714","0.141","-89.100","12575.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.492","0.144","-116.100","12526.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.501","0.147","-72.900","12471.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.251","0.150","-118.200","12410.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.228","0.153","-79.500","12355.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.085","0.156","-94.500","12284.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.970","0.159","-96.900","12223.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.924","0.162","-80.100","12152.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.740","0.165","-102.000","12081.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.741","0.168","-67.200","12015.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.574","0.171","-102.000","11937.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.507","0.174","-85.800","11870.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.442","0.177","-81.300","11795.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.311","0.179","-90.900","11721.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.249","0.182","-76.200","11655.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.144","0.185","-87.600","11578.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.048","0.187","-78.900","11513.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.986","0.190","-73.500","11445.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.873","0.192","-84.000","11377.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.795","0.194","-68.700","11320.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.735","0.197","-69.600","11255.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.607","0.199","-77.700","11195.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.571","0.202","-55.800","11139.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.461","0.205","-75.300","11072.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.382","0.208","-68.100","11016.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.350","0.211","-67.800","10952.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.223","0.214","-93.000","10884.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.218","0.217","-65.700","10823.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.153","0.220","-87.300","10752.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.094","0.224","-91.200","10680.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.092","0.228","-76.200","10614.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.038","0.231","-105.000","10537.8","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","6.008","0.235","-96.000","10464.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","6.026","0.239","-85.200","10396.2","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.970","0.243","-118.500","10317.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.967","0.247","-97.500","10245.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.992","0.251","-99.900","10176.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.917","0.255","-126.900","10097.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.957","0.259","-95.100","10027.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.949","0.264","-117.900","9957.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.905","0.268","-127.200","9880.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.928","0.272","-100.800","9809.0","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.928","0.276","-121.800","9739.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.886","0.280","-129.300","9661.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.906","0.284","-108.000","9588.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.897","0.289","-127.500","9517.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.864","0.293","-132.300","9438.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.893","0.297","-111.300","9361.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.877","0.302","-126.300","9289.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.862","0.306","-129.600","9209.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.876","0.310","-117.600","9128.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.879","0.314","-126.600","9055.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.849","0.319","-138.300","8975.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.862","0.323","-118.500","8892.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.873","0.328","-120.900","8815.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.856","0.332","-137.100","8737.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.854","0.336","-131.400","8652.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.869","0.341","-120.600","8570.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.861","0.345","-133.200","8492.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.832","0.349","-139.800","8407.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.854","0.354","-123.900","8320.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.847","0.358","-127.800","8238.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.824","0.363","-140.700","8156.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.812","0.367","-135.000","8067.1","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.838","0.372","-118.500","7978.0","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.823","0.376","-138.900","7894.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.796","0.381","-140.400","7807.1","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.809","0.385","-126.900","7715.3","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.824","0.390","-125.700","7625.0","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.791","0.394","-143.700","7539.1","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.756","0.399","-142.800","7449.9","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.776","0.403","-126.300","7357.1","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.780","0.408","-133.500","7266.5","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.760","0.412","-142.800","7180.2","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.713","0.417","-143.700","7090.6","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.734","0.422","-129.600","6997.8","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.748","0.426","-130.500","6905.5","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.719","0.431","-150.900","6818.0","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.682","0.436","-143.400","6729.3","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.690","0.440","-133.200","6637.0","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.700","0.445","-137.400","6544.6","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.674","0.450","-148.200","6462.6","8.000","9.000","6.448","4.296","0.238"
