"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.586","0.000","-304.200","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.018","0.000","-251.400","13993.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.489","0.010","-330.300","13999.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.825","0.018","-234.300","13994.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.399","0.023","-333.600","13998.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.706","0.028","-282.600","13997.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.167","0.032","-293.700","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.446","0.037","-230.400","13999.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.604","0.041","-145.200","13995.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.901","0.044","-109.500","14000.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.216","0.048","-228.300","13995.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.248","0.051","-158.100","14002.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.410","0.054","-143.700","13996.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.606","0.057","-169.200","14003.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.694","0.060","-151.500","13995.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.755","0.063","-163.200","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.779","0.066","-115.500","13954.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.878","0.068","-175.200","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.786","0.072","-120.300","13845.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.817","0.076","-156.900","13786.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.693","0.080","-97.200","13722.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.728","0.083","-169.800","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.580","0.087","-127.500","13589.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.624","0.090","-189.900","13512.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.457","0.093","-143.700","13443.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.390","0.097","-134.700","13357.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.286","0.100","-143.100","13284.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.141","0.103","-124.800","13199.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.052","0.106","-154.800","13127.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.809","0.109","-94.800","13053.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.784","0.112","-140.700","12983.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.542","0.115","-96.600","12925.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.492","0.118","-124.800","12862.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.262","0.120","-92.100","12816.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.182","0.123","-100.200","12760.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.016","0.126","-122.700","12717.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.823","0.129","-66.300","12668.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.795","0.132","-131.100","12618.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.523","0.135","-73.500","12574.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.504","0.138","-109.500","12517.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.263","0.141","-82.800","12471.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.220","0.144","-90.300","12410.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.063","0.147","-113.100","12352.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.902","0.150","-57.600","12292.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.895","0.154","-121.800","12222.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.640","0.157","-74.100","12161.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.639","0.160","-91.800","12086.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.456","0.163","-100.500","12019.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.381","0.166","-75.000","11948.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.295","0.169","-108.900","11871.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.131","0.172","-68.700","11805.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.114","0.175","-100.200","11727.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.941","0.178","-97.800","11657.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.856","0.181","-66.000","11588.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.795","0.184","-106.800","11512.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.640","0.187","-81.300","11450.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.580","0.189","-69.900","11380.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.498","0.192","-107.700","11314.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.369","0.195","-61.800","11257.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.333","0.198","-90.000","11190.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.196","0.201","-87.000","11134.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.119","0.204","-59.700","11074.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.081","0.208","-104.100","11008.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.928","0.212","-78.900","10952.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.910","0.215","-87.300","10885.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.835","0.219","-116.700","10817.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.734","0.223","-86.400","10755.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.734","0.228","-105.000","10682.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.687","0.232","-119.100","10611.6","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.627","0.237","-93.600","10544.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.634","0.241","-122.400","10465.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.585","0.246","-130.200","10395.0","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.552","0.251","-103.200","10324.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.585","0.256","-140.700","10245.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.534","0.260","-125.700","10175.0","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.555","0.265","-120.300","10103.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.569","0.270","-146.700","10025.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.549","0.275","-132.300","9956.5","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.561","0.281","-131.100","9885.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.594","0.286","-152.400","9807.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.567","0.291","-145.800","9737.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.568","0.296","-131.700","9665.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.622","0.301","-161.100","9586.4","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.566","0.306","-148.800","9513.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.572","0.311","-135.000","9441.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.613","0.316","-156.900","9361.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.587","0.321","-157.500","9284.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.569","0.326","-133.500","9211.8","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.624","0.331","-156.900","9130.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.597","0.336","-159.300","9049.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.569","0.342","-135.900","8976.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.622","0.347","-161.400","8895.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.600","0.352","-157.200","8811.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.590","0.357","-138.300","8734.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.624","0.362","-153.900","8655.0","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.624","0.367","-163.200","8569.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.604","0.373","-145.200","8486.0","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.637","0.378","-150.600","8407.3","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.630","0.383","-162.900","8321.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.625","0.388","-152.400","8233.4","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.627","0.393","-156.000","8150.1","8.000","9.000","6.471","4.341","0.200"
