"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.601","0.000","-280.200","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.041","0.000","-285.300","13999.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.508","0.010","-261.000","13996.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.957","0.018","-321.600","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.327","0.023","-274.500","13997.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.756","0.028","-321.000","13995.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.119","0.032","-254.100","13999.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.429","0.037","-261.600","13995.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.541","0.040","-110.400","14001.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.023","0.044","-127.800","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.134","0.048","-211.500","14002.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.287","0.051","-147.300","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.449","0.054","-156.300","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.678","0.057","-134.700","13995.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.743","0.060","-188.100","14002.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.804","0.063","-116.700","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.908","0.066","-160.200","13958.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.942","0.068","-110.100","13902.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.973","0.072","-177.300","13844.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.859","0.076","-107.400","13783.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.941","0.079","-138.300","13716.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.800","0.083","-127.500","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.831","0.086","-168.300","13580.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.693","0.089","-169.200","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.690","0.093","-137.100","13433.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.521","0.096","-159.000","13359.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.456","0.098","-111.000","13275.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.307","0.101","-159.900","13200.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.133","0.104","-100.800","13125.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.046","0.107","-148.800","13052.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.806","0.109","-90.000","12990.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.805","0.112","-120.900","12923.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.480","0.115","-118.200","12874.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.468","0.118","-67.800","12815.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.243","0.120","-136.800","12770.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.105","0.123","-67.500","12721.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.985","0.126","-121.800","12671.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.753","0.129","-71.400","12628.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.731","0.131","-104.700","12572.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.417","0.134","-95.400","12527.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.438","0.137","-64.200","12468.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.205","0.140","-124.500","12414.5","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.097","0.143","-53.700","12355.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.011","0.146","-105.000","12288.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.807","0.149","-75.600","12229.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.786","0.152","-85.500","12155.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.540","0.155","-101.700","12090.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.526","0.158","-59.700","12019.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.382","0.161","-111.600","11945.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.235","0.164","-71.100","11879.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.209","0.167","-79.200","11801.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.038","0.170","-104.100","11733.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.976","0.173","-65.700","11661.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.887","0.175","-95.700","11586.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.745","0.178","-82.200","11523.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.710","0.181","-72.600","11450.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.577","0.184","-105.300","11386.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.470","0.187","-59.100","11325.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.456","0.189","-86.400","11258.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.273","0.192","-97.800","11202.7","7.000","8.000","8.420","4.976","0.118"
