"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.752","0.000","-319.800","13996.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.139","0.000","-273.900","13996.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.609","0.010","-295.500","13993.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.014","0.018","-278.100","13999.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.444","0.023","-309.900","13994.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.792","0.028","-289.800","14001.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.238","0.032","-280.200","13994.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.341","0.037","-248.100","14001.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.675","0.041","-93.000","13993.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.971","0.044","-156.900","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.159","0.048","-174.600","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.196","0.051","-196.500","14001.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.494","0.055","-99.600","13997.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.586","0.058","-195.600","14001.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.684","0.061","-133.800","13999.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.775","0.064","-165.600","13990.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.845","0.067","-114.000","13957.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.921","0.069","-153.600","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.857","0.073","-143.700","13849.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.907","0.077","-122.700","13782.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.856","0.081","-130.800","13725.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.872","0.084","-132.000","13652.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.780","0.088","-174.600","13591.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.818","0.091","-149.700","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.626","0.095","-189.300","13447.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.646","0.098","-104.700","13366.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.483","0.101","-173.700","13285.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.359","0.104","-115.200","13208.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.248","0.107","-147.300","13126.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.045","0.110","-117.600","13058.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.016","0.112","-110.100","12981.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.722","0.115","-140.100","12923.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.709","0.118","-82.800","12860.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.438","0.121","-132.600","12808.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.392","0.123","-74.100","12758.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.166","0.126","-129.900","12707.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.020","0.129","-75.000","12665.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.978","0.132","-91.800","12611.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.677","0.134","-118.500","12568.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.696","0.137","-60.000","12514.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.433","0.140","-114.900","12461.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.397","0.143","-67.800","12409.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.208","0.146","-105.600","12345.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.088","0.149","-76.500","12289.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.036","0.152","-82.800","12219.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.795","0.155","-103.500","12154.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.803","0.157","-60.600","12086.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.612","0.160","-102.600","12011.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.532","0.163","-74.100","11945.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.437","0.166","-84.900","11868.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.291","0.169","-90.600","11797.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.255","0.172","-65.400","11726.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.107","0.174","-96.600","11648.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.012","0.177","-76.500","11582.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.966","0.180","-66.900","11507.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.812","0.182","-99.000","11438.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.752","0.185","-59.700","11375.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.690","0.187","-79.500","11304.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.522","0.190","-90.600","11247.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.524","0.193","-47.400","11184.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.380","0.195","-97.200","11119.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.295","0.198","-57.000","11064.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.284","0.202","-63.900","10999.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.123","0.205","-104.400","10936.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.118","0.208","-54.300","10876.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.063","0.212","-100.800","10804.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.948","0.216","-100.500","10740.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.979","0.219","-66.300","10672.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.906","0.223","-120.300","10596.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.841","0.227","-97.800","10529.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.897","0.232","-82.200","10455.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.792","0.236","-140.400","10377.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.772","0.240","-90.600","10309.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.830","0.244","-107.100","10234.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.706","0.249","-148.800","10156.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.747","0.253","-90.000","10088.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.767","0.258","-127.500","10013.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.668","0.262","-148.200","9936.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.709","0.267","-98.400","9868.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.747","0.272","-132.300","9793.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.637","0.276","-155.100","9716.6","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.683","0.281","-102.000","9647.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.734","0.286","-138.900","9572.1","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.621","0.290","-158.700","9492.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.665","0.295","-110.400","9421.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.710","0.300","-139.200","9345.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.613","0.305","-159.600","9263.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.622","0.310","-124.800","9188.8","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.700","0.314","-128.100","9113.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.611","0.319","-168.000","9030.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.610","0.324","-127.500","8950.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.690","0.329","-129.300","8875.3","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.639","0.334","-159.000","8792.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.623","0.339","-144.300","8708.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.648","0.344","-140.100","8631.0","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.635","0.349","-153.600","8549.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.596","0.354","-150.000","8462.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.600","0.359","-147.900","8379.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.619","0.364","-138.000","8299.0","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.632","0.369","-142.200","8211.3","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.578","0.374","-169.200","8122.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.575","0.379","-139.200","8038.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.634","0.384","-134.700","7952.8","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.607","0.389","-169.200","7861.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.561","0.394","-156.000","7770.8","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.588","0.399","-136.800","7685.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.639","0.404","-144.900","7596.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.594","0.409","-174.600","7503.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.553","0.415","-152.700","7427.4","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.596","0.420","-139.200","7386.6","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.626","0.425","-153.300","7328.0","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.549","0.430","-176.400","7248.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.520","0.436","-149.700","7177.5","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.573","0.441","-138.900","7109.4","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.587","0.446","-163.800","7037.1","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.542","0.451","-169.500","6963.8","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.528","0.457","-150.900","6892.6","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.561","0.462","-146.400","6823.5","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.577","0.467","-161.400","6751.5","8.000","9.000","6.449","4.299","0.236"
