"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.574","0.000","-316.500","13998.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.949","0.000","-274.800","13993.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.417","0.010","-295.500","14000.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.765","0.018","-299.700","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.241","0.023","-279.600","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.642","0.028","-322.500","13993.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.978","0.033","-292.500","14000.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.262","0.037","-202.200","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.520","0.041","-157.500","14000.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.753","0.045","-115.500","13995.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.044","0.048","-224.100","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.066","0.052","-133.200","13998.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.336","0.055","-183.000","13999.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.390","0.058","-144.300","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.550","0.061","-155.700","13996.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.585","0.064","-162.300","13993.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.635","0.067","-136.500","13954.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.652","0.069","-138.600","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.678","0.073","-136.500","13842.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.655","0.077","-165.600","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.519","0.081","-101.100","13716.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.572","0.085","-150.600","13656.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.475","0.089","-154.200","13582.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.483","0.093","-199.200","13514.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.300","0.096","-125.700","13437.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.334","0.100","-162.600","13356.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.152","0.103","-147.000","13279.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.067","0.106","-135.600","13194.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.924","0.109","-138.900","13125.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.782","0.112","-133.800","13046.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.617","0.115","-127.500","12985.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.462","0.119","-110.400","12918.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.367","0.122","-141.600","12861.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.110","0.125","-92.100","12809.4","7.000","7.000","11.389","6.056","0.066"
