"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.459","0.000","-316.200","13997.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.812","0.000","-260.400","13993.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.300","0.010","-309.600","13998.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.625","0.018","-293.400","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.056","0.023","-299.700","13996.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.442","0.028","-276.600","13998.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.840","0.033","-340.500","13995.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.959","0.037","-206.100","14000.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.282","0.041","-120.000","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.542","0.045","-147.900","14002.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.799","0.048","-193.800","13995.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.787","0.052","-180.900","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.050","0.055","-115.200","13995.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.193","0.059","-199.800","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.253","0.062","-135.000","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.349","0.065","-171.000","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.396","0.068","-117.600","13956.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.496","0.071","-160.800","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.448","0.074","-132.000","13850.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.515","0.079","-141.600","13788.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.438","0.083","-120.000","13728.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.486","0.087","-142.200","13658.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.412","0.091","-164.700","13596.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.463","0.095","-176.700","13519.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.326","0.098","-168.600","13452.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.317","0.102","-126.900","13367.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.223","0.105","-174.900","13292.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.073","0.108","-120.900","13209.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.014","0.111","-156.300","13132.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.796","0.114","-124.200","13060.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.756","0.117","-130.200","12985.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.511","0.120","-125.700","12926.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.462","0.123","-115.500","12858.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.200","0.126","-123.300","12809.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.145","0.129","-83.400","12754.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.982","0.132","-140.400","12707.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.759","0.135","-78.300","12661.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.752","0.138","-107.400","12609.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.480","0.141","-105.900","12567.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.457","0.144","-90.000","12510.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.228","0.148","-105.000","12464.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.180","0.151","-80.700","12407.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.025","0.154","-117.000","12347.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.868","0.157","-71.700","12291.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.859","0.160","-103.500","12220.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.623","0.163","-92.100","12160.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.621","0.166","-81.300","12087.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.449","0.170","-107.700","12017.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.371","0.173","-76.800","11949.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.313","0.176","-103.200","11871.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.151","0.179","-84.000","11805.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.133","0.182","-81.000","11728.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.000","0.185","-106.200","11655.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.901","0.188","-74.700","11587.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.857","0.191","-90.600","11510.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.722","0.193","-98.400","11445.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.662","0.196","-65.100","11377.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.602","0.199","-102.300","11308.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.453","0.202","-68.700","11251.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.459","0.205","-75.300","11184.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.311","0.207","-96.000","11124.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.234","0.211","-55.500","11067.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.229","0.214","-86.700","10999.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.062","0.217","-97.500","10942.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.064","0.221","-64.500","10878.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.999","0.225","-116.700","10808.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.887","0.228","-81.600","10746.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.922","0.232","-90.300","10674.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.832","0.236","-128.100","10601.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.757","0.241","-80.400","10534.5","8.000","8.000","7.220","4.616","0.138"
