"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.507","0.000","-266.100","13991.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.926","0.000","-298.200","13999.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.291","0.010","-291.000","13993.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.751","0.018","-281.100","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.213","0.023","-284.100","13994.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.578","0.028","-319.800","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.018","0.033","-258.000","13997.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.214","0.037","-269.400","13998.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.429","0.041","-89.400","13999.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.851","0.044","-160.200","13996.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.898","0.048","-203.400","14000.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.060","0.051","-159.300","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.293","0.055","-128.400","14002.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.478","0.058","-180.600","13995.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.496","0.061","-150.000","14003.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.658","0.064","-140.100","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.694","0.067","-146.700","13960.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.768","0.069","-134.700","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.753","0.073","-156.600","13846.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.774","0.077","-112.500","13781.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.752","0.081","-145.500","13718.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.703","0.084","-121.500","13652.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.712","0.088","-170.700","13581.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.661","0.091","-156.600","13513.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.581","0.095","-177.600","13432.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.472","0.098","-118.500","13359.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.474","0.101","-147.600","13272.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.251","0.104","-139.500","13200.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.220","0.106","-118.200","13120.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.012","0.109","-135.600","13051.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.936","0.112","-92.700","12984.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.754","0.114","-146.700","12919.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.588","0.117","-74.700","12867.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.527","0.120","-121.500","12808.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.268","0.122","-95.700","12765.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.243","0.125","-90.600","12712.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.975","0.128","-108.600","12668.0","7.000","7.000","11.056","5.922","0.072"
