"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.525","0.000","-317.700","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.008","0.000","-280.800","13992.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.301","0.010","-303.900","14000.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.766","0.018","-259.200","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.214","0.023","-303.900","14000.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.511","0.028","-315.900","13995.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.908","0.032","-274.200","14000.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.117","0.037","-218.100","13997.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.380","0.041","-145.800","13997.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.681","0.045","-122.700","13999.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.849","0.048","-205.800","13996.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.939","0.052","-156.300","14000.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.182","0.055","-157.200","13996.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.248","0.058","-161.700","14003.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.385","0.061","-158.400","13996.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.420","0.064","-148.800","13995.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.521","0.067","-139.500","13953.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.547","0.070","-139.200","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.582","0.074","-139.500","13843.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.519","0.078","-151.200","13786.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.535","0.082","-108.900","13718.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.494","0.086","-155.100","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.451","0.090","-156.000","13586.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.422","0.094","-197.400","13512.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.286","0.097","-145.200","13439.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.293","0.101","-151.200","13353.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.105","0.104","-155.100","13280.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.053","0.107","-132.300","13194.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.868","0.111","-150.300","13124.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.783","0.114","-122.700","13048.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.608","0.117","-135.900","12981.8","7.000","7.000","11.722","6.189","0.060"
