"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.548","0.000","-249.000","13991.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.873","0.000","-309.300","14000.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.282","0.010","-296.100","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.739","0.018","-253.500","13999.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.215","0.023","-285.900","13995.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.504","0.028","-338.100","13999.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.897","0.033","-260.100","13996.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.054","0.037","-242.400","13998.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.350","0.041","-112.500","13998.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.639","0.045","-159.000","13996.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.682","0.048","-199.500","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.900","0.052","-147.900","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.017","0.055","-169.800","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.162","0.059","-156.900","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.193","0.062","-158.100","14003.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.374","0.065","-132.000","13987.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.366","0.068","-164.700","13960.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.470","0.071","-118.200","13900.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.448","0.075","-154.500","13846.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.459","0.079","-128.100","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.423","0.083","-141.900","13719.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.418","0.088","-129.600","13652.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.442","0.092","-168.900","13582.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.345","0.095","-190.800","13514.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.289","0.099","-159.000","13433.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.225","0.103","-145.200","13360.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.164","0.106","-157.500","13273.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.935","0.110","-165.300","13201.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.916","0.113","-121.500","13120.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.698","0.116","-153.300","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.637","0.119","-113.100","12985.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.451","0.123","-141.600","12922.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.292","0.126","-117.300","12870.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.189","0.129","-116.100","12812.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.992","0.132","-124.800","12768.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.916","0.135","-105.900","12715.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.674","0.139","-120.900","12671.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.652","0.142","-92.100","12621.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.405","0.145","-131.100","12569.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.327","0.148","-84.600","12524.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.206","0.152","-110.100","12463.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.027","0.155","-107.700","12413.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.995","0.158","-89.700","12349.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.799","0.162","-112.500","12286.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.776","0.165","-84.600","12224.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.585","0.169","-114.300","12150.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.533","0.172","-86.700","12087.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.449","0.175","-100.500","12012.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.305","0.179","-105.000","11942.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.267","0.182","-82.800","11872.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.122","0.185","-109.500","11794.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.054","0.189","-92.700","11728.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.962","0.192","-95.400","11652.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.853","0.195","-105.300","11580.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.783","0.198","-81.000","11515.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.695","0.201","-92.700","11441.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.593","0.204","-98.100","11380.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.552","0.207","-75.300","11315.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.427","0.210","-105.900","11249.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.361","0.213","-73.500","11194.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.295","0.216","-90.000","11128.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.158","0.219","-90.900","11067.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.146","0.223","-71.100","11009.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.049","0.227","-100.500","10940.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.972","0.230","-98.400","10880.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.971","0.234","-84.300","10813.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.865","0.238","-117.600","10740.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.849","0.243","-93.900","10676.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.826","0.247","-108.600","10602.5","8.000","8.000","7.340","4.652","0.136"
