"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.761","0.000","-306.900","13994.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.134","0.000","-275.100","13998.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.617","0.010","-294.600","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.982","0.018","-293.700","14000.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.470","0.023","-286.800","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.821","0.028","-308.700","14002.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.235","0.032","-289.200","13994.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.397","0.037","-226.200","14001.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.679","0.041","-129.600","13994.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.985","0.044","-148.800","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.130","0.048","-183.900","13996.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.250","0.051","-179.400","14000.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.470","0.055","-133.500","13998.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.590","0.058","-177.600","13998.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.689","0.061","-132.900","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.793","0.064","-169.800","13989.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.803","0.067","-120.900","13959.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.899","0.069","-155.100","13900.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.835","0.073","-134.700","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.839","0.077","-144.300","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.760","0.081","-122.400","13725.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.779","0.085","-136.200","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.702","0.088","-167.700","13589.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.689","0.092","-168.000","13515.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.545","0.095","-168.000","13444.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.514","0.098","-118.800","13366.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.382","0.102","-172.800","13283.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.245","0.105","-111.600","13209.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.173","0.108","-153.000","13125.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.936","0.111","-122.700","13058.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.887","0.114","-116.400","12983.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.659","0.116","-128.400","12924.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.575","0.119","-103.800","12864.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.353","0.122","-126.300","12809.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.265","0.125","-78.300","12762.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.101","0.128","-133.500","12708.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.901","0.131","-80.400","12667.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.878","0.134","-99.300","12614.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.597","0.137","-115.200","12569.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.592","0.140","-69.000","12517.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.375","0.143","-119.700","12462.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.295","0.146","-70.800","12412.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.154","0.149","-114.300","12346.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.986","0.152","-81.300","12290.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.962","0.155","-84.900","12222.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.721","0.158","-114.600","12155.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.715","0.162","-61.500","12090.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.546","0.165","-114.600","12013.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.447","0.168","-72.000","11948.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.384","0.171","-89.400","11872.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.212","0.174","-103.800","11799.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.183","0.177","-65.400","11731.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.044","0.180","-105.900","11652.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.939","0.183","-82.200","11587.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.891","0.185","-75.300","11514.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.744","0.188","-101.100","11442.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.675","0.191","-70.200","11381.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.607","0.194","-85.200","11311.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.457","0.196","-94.800","11251.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.419","0.199","-56.700","11191.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.309","0.202","-103.500","11125.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.196","0.206","-63.000","11070.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.196","0.209","-70.200","11006.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.033","0.212","-111.900","10940.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.010","0.216","-64.200","10882.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.966","0.220","-106.200","10812.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.843","0.224","-112.500","10745.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.848","0.228","-74.400","10680.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.791","0.232","-127.800","10603.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.704","0.237","-105.900","10535.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.745","0.241","-88.500","10463.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.676","0.246","-145.200","10385.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.611","0.250","-110.400","10316.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.686","0.255","-105.900","10242.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.585","0.260","-162.900","10164.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.579","0.265","-104.400","10096.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.636","0.270","-130.800","10022.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.547","0.275","-160.500","9945.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.549","0.280","-114.300","9877.2","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.615","0.285","-134.100","9803.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.522","0.290","-169.200","9726.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.511","0.295","-122.700","9657.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.605","0.300","-134.700","9583.4","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.514","0.305","-173.700","9503.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.509","0.310","-128.700","9430.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.591","0.315","-138.300","9357.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.534","0.321","-174.300","9275.3","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.504","0.326","-143.700","9198.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.595","0.331","-134.100","9124.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.551","0.336","-176.400","9042.5","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.498","0.342","-151.800","8961.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.580","0.347","-135.300","8886.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.555","0.352","-173.100","8805.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.507","0.358","-160.500","8720.9","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.538","0.363","-143.100","8642.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.560","0.368","-156.600","8563.0","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.538","0.373","-168.000","8476.6","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.532","0.379","-156.300","8392.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.545","0.384","-150.600","8312.3","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.569","0.390","-154.800","8226.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.535","0.395","-174.900","8137.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.516","0.400","-156.600","8052.4","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.586","0.406","-145.500","7968.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.584","0.411","-171.600","7877.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.532","0.417","-174.300","7786.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.547","0.422","-151.800","7700.2","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.606","0.428","-150.600","7611.9","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.583","0.433","-178.800","7519.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.532","0.438","-172.200","7434.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.546","0.444","-152.100","7387.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.593","0.449","-148.500","7334.9","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.557","0.455","-186.000","7259.5","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.504","0.460","-169.800","7186.9","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.541","0.466","-141.900","7119.1","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.591","0.471","-162.900","7049.0","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.547","0.477","-177.900","6975.8","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.506","0.483","-172.200","6905.0","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.531","0.488","-154.200","6836.7","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.553","0.494","-165.900","6766.7","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.544","0.499","-175.500","6691.0","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.505","0.505","-173.100","6614.9","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.487","0.511","-165.000","6540.9","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.506","0.516","-164.100","6467.6","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.532","0.522","-168.000","6390.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.505","0.528","-176.100","6310.3","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.479","0.534","-172.500","6231.2","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.503","0.539","-161.400","6154.2","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.528","0.545","-168.000","6077.4","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.553","0.551","-169.500","5997.0","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.565","0.557","-170.700","5915.1","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.560","0.563","-180.300","5835.0","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.580","0.569","-162.000","5756.6","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.617","0.574","-168.300","5678.1","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.642","0.580","-171.900","5597.3","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.671","0.586","-172.200","5514.8","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.671","0.592","-176.400","5433.3","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.678","0.597","-168.600","5353.1","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.682","0.603","-170.400","5274.1","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.719","0.609","-168.000","5193.9","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.749","0.614","-168.300","5111.2","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.745","0.620","-174.000","5029.1","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.739","0.625","-177.000","4947.5","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.735","0.631","-167.700","4866.9","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.742","0.636","-168.600","4787.6","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.749","0.642","-170.400","4706.8","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.761","0.647","-168.300","4624.1","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.738","0.653","-176.700","4541.9","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.723","0.659","-169.800","4459.8","9.000","9.000","6.415","4.231","0.294"
