"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.412","0.000","-291.900","13991.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.758","0.000","-303.300","13998.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.271","0.010","-252.600","13994.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.584","0.018","-317.700","13999.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.063","0.023","-276.600","13996.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.461","0.028","-296.400","13997.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.745","0.033","-303.900","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.950","0.037","-228.300","13995.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.241","0.041","-113.100","14000.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.582","0.045","-147.900","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.659","0.048","-189.600","14002.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.863","0.052","-165.000","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.047","0.055","-135.000","14003.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.229","0.058","-167.100","13995.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.291","0.062","-155.100","14002.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.406","0.065","-149.700","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.435","0.068","-147.600","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.538","0.070","-126.900","13902.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.474","0.074","-171.600","13845.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.494","0.078","-122.100","13782.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.478","0.082","-139.200","13716.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.456","0.086","-128.700","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.420","0.090","-189.000","13580.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.345","0.094","-164.700","13514.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.292","0.097","-167.100","13430.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.188","0.101","-142.200","13357.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.117","0.104","-152.100","13271.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.930","0.108","-152.400","13197.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.891","0.111","-121.500","13120.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.653","0.114","-159.300","13048.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.605","0.117","-96.900","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.427","0.120","-144.000","12917.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.255","0.123","-113.100","12867.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.183","0.126","-108.900","12808.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.986","0.129","-116.100","12765.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.916","0.133","-103.200","12714.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.688","0.136","-121.200","12666.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.687","0.139","-75.600","12621.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.454","0.142","-134.400","12566.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.372","0.145","-80.100","12521.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.293","0.148","-98.400","12462.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.096","0.152","-114.900","12409.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.083","0.155","-78.000","12348.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.869","0.158","-118.200","12282.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.853","0.161","-73.800","12222.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.682","0.164","-113.700","12147.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.590","0.167","-88.200","12083.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.539","0.171","-82.800","12010.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.381","0.174","-106.500","11936.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.357","0.177","-72.300","11869.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.215","0.180","-106.500","11790.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.151","0.183","-82.200","11723.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.077","0.186","-82.800","11649.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.951","0.188","-100.800","11575.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.905","0.191","-69.000","11511.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.800","0.194","-91.800","11437.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.699","0.197","-91.500","11374.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.665","0.199","-61.200","11312.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.533","0.202","-99.900","11245.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.459","0.204","-67.800","11190.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.412","0.207","-66.900","11127.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.270","0.210","-90.900","11064.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.261","0.213","-55.200","11008.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.166","0.217","-96.900","10940.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.079","0.220","-88.500","10876.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.091","0.224","-66.600","10813.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.980","0.227","-114.000","10740.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.954","0.231","-82.500","10674.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.948","0.235","-86.400","10603.7","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.882","0.239","-122.100","10526.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.885","0.243","-88.500","10459.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.878","0.247","-104.700","10384.1","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.816","0.252","-125.700","10306.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.854","0.256","-92.100","10238.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.823","0.260","-126.000","10162.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.787","0.265","-126.300","10086.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.821","0.269","-103.200","10019.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.782","0.273","-135.300","9944.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.773","0.278","-122.400","9868.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.787","0.282","-116.100","9800.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.780","0.287","-132.900","9724.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.750","0.291","-130.800","9647.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.783","0.296","-118.500","9578.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.769","0.300","-139.800","9502.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.740","0.305","-133.500","9422.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.751","0.309","-126.600","9350.5","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.756","0.314","-129.000","9274.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.727","0.319","-139.200","9192.1","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.728","0.323","-132.900","9116.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.754","0.328","-130.500","9040.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.710","0.332","-147.300","8957.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.724","0.337","-131.100","8876.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.728","0.342","-134.100","8801.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.707","0.346","-142.200","8718.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.709","0.351","-142.200","8633.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.715","0.356","-135.900","8555.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.709","0.361","-135.900","8474.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.690","0.365","-147.300","8387.0","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.676","0.370","-142.500","8302.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.690","0.375","-135.600","8221.5","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.686","0.380","-146.400","8134.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.651","0.385","-151.200","8044.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.654","0.389","-138.000","7959.2","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.663","0.394","-140.700","7874.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.645","0.399","-148.500","7783.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.618","0.404","-150.000","7691.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.621","0.409","-142.500","7603.7","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.627","0.414","-139.500","7516.6","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.619","0.419","-153.300","7424.2","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.583","0.424","-155.100","7331.9","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.589","0.429","-143.700","7244.1","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.620","0.434","-141.600","7156.4","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.593","0.439","-157.800","7064.1","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.570","0.444","-156.900","6972.3","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.575","0.450","-144.900","6891.6","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.589","0.455","-150.600","6813.0","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.572","0.460","-154.500","6730.8","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.551","0.465","-159.600","6652.4","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.524","0.470","-155.400","6576.8","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.539","0.476","-150.900","6503.5","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.563","0.481","-148.500","6426.4","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.536","0.486","-163.500","6347.9","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.506","0.492","-160.500","6271.3","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.518","0.497","-153.300","6196.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.528","0.502","-157.200","6120.3","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.536","0.508","-155.400","6040.1","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.521","0.513","-167.700","5959.7","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.493","0.519","-165.900","5879.5","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.490","0.524","-158.700","5800.4","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.485","0.529","-161.100","5721.3","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.520","0.535","-155.700","5638.9","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.509","0.540","-166.800","5555.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.496","0.546","-165.600","5473.4","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.474","0.552","-166.200","5391.7","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.477","0.557","-162.900","5311.5","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.515","0.563","-157.500","5229.4","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.516","0.568","-167.700","5145.1","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.504","0.574","-171.900","5061.6","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.494","0.580","-163.800","4978.7","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.486","0.585","-170.100","4896.4","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.479","0.591","-170.100","4815.4","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.529","0.597","-157.200","4732.7","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.539","0.602","-168.600","4648.1","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.528","0.608","-169.500","4564.7","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.522","0.614","-171.900","4481.3","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.514","0.619","-173.700","4398.1","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.497","0.625","-174.600","4316.2","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.503","0.631","-168.900","4233.4","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.526","0.637","-165.600","4149.7","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.534","0.642","-168.600","4065.0","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.542","0.648","-171.900","3981.6","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.524","0.654","-177.900","3897.3","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.513","0.660","-173.100","3813.7","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.490","0.665","-181.200","3730.8","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.486","0.671","-174.300","3648.7","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.493","0.677","-167.100","3565.3","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.504","0.683","-171.300","3481.5","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.497","0.689","-177.000","3396.6","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.488","0.695","-177.900","3312.8","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.485","0.701","-175.200","3228.3","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.457","0.707","-188.100","3144.9","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.422","0.713","-181.200","3060.6","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.397","0.719","-183.900","2977.9","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.381","0.725","-178.800","2895.0","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.333","0.731","-193.200","2811.0","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.303","0.737","-180.600","2727.9","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.268","0.743","-186.600","2642.8","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.214","0.749","-192.900","2558.5","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.165","0.756","-192.000","2475.5","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.110","0.762","-195.600","2391.2","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.040","0.769","-197.700","2307.3","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","4.978","0.776","-204.000","2223.5","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","4.919","0.782","-196.500","2139.6","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","4.866","0.789","-197.700","2056.4","10.000","10.000","6.400","4.200","0.346"
"174","3","6.160","4.818","0.797","-207.600","1973.1","11.000","11.000","6.400","4.200","0.348"
"175","3","6.320","4.755","0.804","-207.300","1889.6","11.000","11.000","6.317","4.000","0.350"
"176","3","6.480","4.680","0.811","-213.600","1804.3","11.000","11.000","6.233","3.800","0.352"
"177","3","6.640","4.593","0.821","-225.300","1719.6","11.000","11.000","6.150","3.600","0.354"
"178","3","6.800","4.539","0.834","-223.200","1636.0","11.000","11.000","6.067","3.400","0.356"
"179","3","6.960","4.457","0.852","-230.100","1551.4","11.000","11.000","5.983","3.200","0.358"
"180","3","7.120","4.395","0.871","-248.100","1465.6","12.000","12.000","5.900","3.000","0.360"
"181","3","7.280","4.513","0.891","-323.100","1381.2","12.000","12.000","5.800","2.833","0.362"
"182","3","7.440","4.570","0.911","-508.800","1294.7","12.000","12.000","5.700","2.667","0.364"
"183","3","7.600","4.367","0.931","-666.300","1207.5","12.000","13.000","5.600","2.500","0.366"
"184","3","7.760","4.097","0.951","-684.600","1120.8","12.000","13.000","5.417","2.417","0.368"
"185","3","7.920","3.978","0.971","-602.100","1037.2","13.000","13.000","5.233","2.333","0.370"
"186","3","8.080","3.842","0.991","-621.900","954.6","13.000","13.000","5.050","2.250","0.372"
"187","3","8.240","3.417","1.011","-691.500","870.9","13.000","13.000","4.867","2.167","0.374"
