"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.471","0.000","-309.600","13999.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.833","0.000","-269.400","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.294","0.010","-277.800","14000.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.742","0.018","-285.000","13993.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.200","0.023","-305.100","14000.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.578","0.028","-289.800","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.025","0.033","-307.500","13999.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.231","0.037","-216.900","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.486","0.041","-132.900","13999.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.813","0.044","-131.700","13998.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.013","0.048","-224.700","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.045","0.051","-141.300","14000.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.313","0.055","-165.000","13996.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.390","0.058","-160.500","14001.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.523","0.061","-160.200","13995.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.563","0.063","-137.100","13994.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.660","0.066","-146.100","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.689","0.069","-136.800","13906.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.730","0.072","-132.600","13842.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.703","0.077","-144.300","13788.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.683","0.080","-102.600","13718.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.692","0.084","-154.800","13655.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.639","0.088","-132.000","13585.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.688","0.091","-199.200","13514.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.517","0.094","-129.900","13441.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.544","0.098","-150.000","13357.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.389","0.101","-133.500","13283.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.348","0.103","-140.100","13197.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.160","0.106","-135.300","13127.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.059","0.109","-109.200","13048.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.906","0.112","-135.300","12983.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.758","0.114","-87.900","12918.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.659","0.117","-141.300","12859.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.392","0.119","-73.800","12811.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.382","0.122","-120.300","12755.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.088","0.125","-98.100","12714.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.031","0.127","-78.000","12661.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.824","0.130","-112.200","12617.6","7.000","7.000","10.944","5.878","0.074"
