"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.511","0.000","-233.700","13992.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.971","0.000","-326.100","13998.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.338","0.010","-258.600","13996.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.820","0.018","-304.500","13997.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.192","0.023","-270.900","13997.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.714","0.028","-317.700","13995.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.009","0.032","-295.800","13999.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.304","0.037","-214.800","13994.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.528","0.041","-121.800","14001.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.919","0.044","-149.700","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.037","0.048","-195.000","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.186","0.051","-155.400","13995.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.371","0.054","-161.400","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.509","0.057","-148.200","13995.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.609","0.060","-168.300","14001.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.698","0.063","-130.500","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.734","0.066","-177.900","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.740","0.069","-100.500","13903.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.809","0.072","-174.000","13845.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.692","0.076","-120.300","13784.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.716","0.080","-143.100","13716.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.617","0.084","-109.800","13655.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.652","0.087","-184.200","13580.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.485","0.091","-175.500","13515.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.462","0.094","-141.600","13432.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.334","0.097","-151.500","13359.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.247","0.100","-132.900","13274.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.087","0.103","-150.600","13198.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.963","0.106","-102.900","13123.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.854","0.109","-159.900","13049.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.619","0.112","-89.700","12986.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.591","0.115","-139.200","12918.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.304","0.118","-112.200","12867.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.254","0.121","-95.400","12809.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.028","0.124","-124.800","12763.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.899","0.127","-83.400","12714.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.722","0.130","-133.200","12665.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.534","0.133","-68.400","12622.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.463","0.136","-133.500","12566.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.171","0.139","-86.100","12521.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.188","0.143","-90.900","12463.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.922","0.146","-119.400","12409.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.851","0.149","-66.900","12350.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.702","0.152","-126.300","12283.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.531","0.156","-73.200","12224.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.492","0.159","-110.700","12150.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.256","0.163","-99.300","12084.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.256","0.166","-83.700","12013.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.060","0.170","-125.100","11938.3","7.000","7.000","9.722","5.389","0.096"
