"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.804","0.000","-250.800","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.116","0.000","-341.100","13999.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.554","0.010","-259.200","13994.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.025","0.018","-301.200","13998.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.358","0.023","-298.200","13996.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.789","0.028","-315.900","13997.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.169","0.033","-269.100","13999.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.304","0.037","-270.300","13995.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.587","0.041","-73.800","14000.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.001","0.045","-174.600","13994.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.997","0.048","-202.200","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.267","0.052","-129.600","13995.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.434","0.055","-172.800","14003.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.598","0.058","-155.100","13994.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.651","0.061","-161.700","14002.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.808","0.064","-135.000","13987.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.806","0.067","-171.900","13959.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.877","0.070","-117.600","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.882","0.074","-168.900","13845.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.833","0.078","-114.900","13782.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.828","0.082","-152.400","13716.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.770","0.086","-112.500","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.817","0.089","-176.400","13579.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.680","0.093","-174.600","13514.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.637","0.096","-165.000","13432.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.513","0.100","-133.200","13358.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.471","0.103","-153.000","13273.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.227","0.106","-156.600","13199.0","6.000","7.000","12.056","6.322","0.054"
