"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.489","0.000","-288.000","13996.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.923","0.000","-269.400","13996.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.385","0.010","-320.700","13995.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.766","0.018","-266.100","13998.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.228","0.023","-310.500","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.616","0.028","-277.800","14000.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.080","0.032","-321.600","13994.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.157","0.037","-239.400","14002.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.466","0.041","-69.300","13993.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.832","0.044","-199.800","14002.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.964","0.048","-171.300","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.079","0.051","-174.300","14001.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.290","0.055","-131.100","13996.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.492","0.058","-189.300","14001.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.508","0.061","-131.400","13998.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.701","0.063","-153.900","13992.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.724","0.066","-141.900","13957.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.803","0.069","-142.800","13902.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.798","0.072","-132.900","13849.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.839","0.076","-133.500","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.782","0.080","-136.200","13726.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.796","0.084","-117.600","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.787","0.087","-166.800","13592.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.768","0.090","-158.700","13514.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.680","0.094","-170.100","13444.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.593","0.097","-106.200","13362.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.587","0.099","-167.700","13283.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.362","0.102","-113.400","13204.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.351","0.105","-133.800","13124.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.122","0.107","-120.300","13057.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.066","0.110","-103.200","12982.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.866","0.112","-122.100","12925.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.747","0.115","-87.000","12861.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.583","0.117","-117.000","12811.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.405","0.120","-74.400","12760.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.336","0.122","-110.400","12709.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.054","0.124","-79.200","12667.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.046","0.127","-79.200","12613.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.802","0.129","-99.300","12571.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.690","0.132","-70.200","12516.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.553","0.134","-84.900","12465.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.406","0.137","-79.200","12411.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.305","0.139","-83.100","12347.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.118","0.142","-65.100","12292.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.093","0.145","-84.900","12221.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.862","0.147","-78.300","12158.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.809","0.150","-68.100","12089.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.679","0.152","-83.700","12015.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.551","0.155","-65.100","11950.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.491","0.157","-76.500","11872.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.333","0.160","-68.700","11803.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.270","0.162","-77.400","11731.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.133","0.165","-72.900","11655.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.050","0.167","-65.700","11589.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.960","0.169","-79.200","11514.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.849","0.172","-66.000","11446.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.763","0.174","-63.600","11382.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.675","0.176","-70.800","11312.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.578","0.178","-63.000","11255.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.497","0.181","-62.400","11192.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.411","0.183","-68.100","11128.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.305","0.186","-54.900","11074.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.265","0.189","-73.500","11007.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.147","0.192","-69.300","10947.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.103","0.195","-70.800","10886.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.032","0.198","-86.100","10815.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.956","0.202","-75.000","10752.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.931","0.206","-87.300","10683.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.872","0.209","-91.800","10608.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.848","0.213","-86.700","10542.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.821","0.217","-98.100","10467.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.795","0.221","-100.500","10391.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.768","0.225","-99.300","10323.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.758","0.229","-116.700","10247.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.720","0.233","-104.700","10171.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.735","0.238","-108.000","10103.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.709","0.242","-131.400","10027.3","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.686","0.246","-102.900","9952.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.712","0.251","-122.400","9884.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.669","0.255","-131.700","9809.1","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.679","0.260","-110.100","9733.3","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.692","0.264","-126.900","9665.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.679","0.269","-136.800","9588.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.682","0.273","-111.900","9510.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.720","0.278","-132.300","9440.2","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.680","0.282","-144.300","9363.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.691","0.287","-115.500","9282.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.710","0.291","-136.800","9209.1","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.683","0.296","-142.800","9132.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.675","0.300","-124.800","9049.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.685","0.305","-132.600","8971.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.681","0.309","-146.400","8895.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.644","0.314","-133.800","8812.3","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.657","0.319","-129.000","8729.9","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.652","0.323","-142.800","8653.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.621","0.328","-145.200","8570.6","8.000","9.000","6.476","4.353","0.190"
