"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.551","0.000","-258.900","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.994","0.000","-288.900","13993.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.431","0.010","-281.100","13999.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.892","0.018","-288.600","13993.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.286","0.023","-282.900","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.770","0.028","-295.200","13993.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.022","0.032","-309.000","14001.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.235","0.037","-223.500","13993.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.547","0.041","-116.700","14000.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.871","0.044","-142.500","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.912","0.048","-219.000","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.141","0.051","-134.400","13998.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.305","0.054","-166.200","14000.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.424","0.058","-156.900","13999.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.501","0.061","-164.400","13997.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.607","0.063","-135.900","13993.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.663","0.066","-151.500","13953.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.667","0.069","-134.400","13906.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.686","0.072","-145.500","13841.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.630","0.077","-135.900","13786.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.649","0.081","-124.800","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.533","0.084","-148.800","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.590","0.088","-146.400","13581.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.427","0.092","-198.300","13512.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.372","0.095","-144.600","13434.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.270","0.098","-152.400","13354.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.172","0.102","-138.600","13277.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.009","0.105","-154.500","13193.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.877","0.108","-126.300","13124.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.769","0.111","-130.200","13046.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.560","0.114","-127.800","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.507","0.117","-112.200","12920.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.221","0.120","-141.300","12866.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.200","0.124","-84.000","12815.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.973","0.127","-134.400","12761.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.830","0.130","-102.000","12720.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.707","0.133","-107.100","12666.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.523","0.136","-105.300","12624.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.455","0.140","-100.500","12571.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.208","0.143","-117.000","12520.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.227","0.146","-72.300","12468.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.976","0.149","-129.600","12406.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.912","0.153","-82.200","12353.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.814","0.156","-100.800","12285.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.634","0.160","-111.300","12222.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.600","0.163","-86.100","12155.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.393","0.166","-116.400","12082.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.385","0.170","-75.000","12018.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.227","0.173","-113.100","11940.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.136","0.177","-93.600","11872.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.086","0.180","-88.800","11799.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.940","0.183","-110.400","11724.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.918","0.187","-78.000","11658.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.807","0.190","-106.800","11581.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.707","0.193","-97.200","11514.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.670","0.196","-75.000","11448.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.549","0.199","-112.800","11377.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.478","0.202","-78.900","11319.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.430","0.205","-85.800","11255.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.288","0.208","-105.300","11192.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.278","0.211","-63.600","11137.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.172","0.215","-101.100","11071.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.067","0.218","-95.100","11011.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.098","0.222","-63.300","10951.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.949","0.226","-127.200","10881.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.949","0.230","-79.500","10820.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.934","0.234","-93.300","10751.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.833","0.238","-128.700","10678.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.874","0.242","-81.900","10612.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.838","0.247","-121.800","10537.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.759","0.251","-128.400","10462.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.813","0.256","-87.300","10394.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.772","0.260","-144.600","10317.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.725","0.265","-126.000","10242.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.807","0.269","-97.800","10174.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.723","0.274","-160.200","10097.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.721","0.279","-119.100","10023.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.783","0.283","-111.600","9955.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.715","0.288","-162.600","9878.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.706","0.293","-123.300","9805.0","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.764","0.298","-115.500","9736.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.689","0.302","-165.900","9659.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.690","0.307","-124.500","9583.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.766","0.312","-121.500","9513.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.695","0.317","-168.300","9435.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.696","0.322","-130.200","9356.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.758","0.326","-126.000","9284.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.720","0.331","-161.400","9205.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.694","0.336","-145.200","9123.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.770","0.341","-123.300","9048.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.745","0.346","-151.500","8971.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.709","0.351","-153.600","8886.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.772","0.356","-129.000","8807.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.764","0.360","-144.300","8731.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.745","0.365","-155.700","8646.6","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.758","0.370","-138.000","8562.0","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.788","0.375","-141.600","8483.8","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.775","0.380","-146.700","8400.6","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.762","0.385","-151.500","8312.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.766","0.390","-144.300","8228.2","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.802","0.394","-132.600","8146.7","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.768","0.399","-159.600","8058.6","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.745","0.404","-156.000","7968.2","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.792","0.409","-124.500","7883.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.793","0.414","-150.600","7797.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.749","0.419","-161.700","7704.7","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.753","0.424","-137.400","7612.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.799","0.429","-134.100","7525.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.778","0.433","-153.000","7437.3","8.000","9.000","6.461","4.322","0.216"
