"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.566","0.000","-296.100","13994.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.972","0.000","-282.900","13997.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.499","0.010","-279.000","13994.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.757","0.018","-313.200","14000.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.239","0.023","-285.300","13994.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.689","0.028","-273.300","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.985","0.032","-338.100","13993.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.186","0.037","-191.400","14001.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.506","0.041","-126.000","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.720","0.044","-167.100","14001.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.907","0.048","-164.400","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.967","0.051","-197.100","14001.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.213","0.055","-118.200","13997.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.301","0.058","-192.900","13999.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.433","0.061","-121.500","13999.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.519","0.064","-176.400","13990.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.560","0.067","-113.700","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.669","0.070","-150.300","13901.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.640","0.073","-133.500","13850.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.677","0.078","-138.600","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.622","0.082","-122.400","13727.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.681","0.086","-131.700","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.607","0.089","-170.100","13592.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.641","0.093","-166.500","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.509","0.096","-171.900","13445.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.528","0.100","-115.800","13364.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.399","0.103","-175.200","13282.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.262","0.106","-115.800","13206.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.219","0.109","-143.700","13124.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.000","0.111","-129.300","13058.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.956","0.114","-114.000","12982.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.726","0.117","-126.600","12925.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.659","0.120","-103.500","12862.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.416","0.122","-123.900","12810.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.356","0.125","-75.900","12761.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.155","0.128","-136.200","12708.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.975","0.131","-74.700","12667.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.935","0.133","-97.200","12613.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.639","0.136","-111.300","12570.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.631","0.139","-66.300","12517.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.389","0.142","-116.100","12463.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.330","0.145","-59.700","12412.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.167","0.147","-111.600","12347.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.019","0.150","-71.700","12292.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.984","0.153","-83.700","12223.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.734","0.156","-108.300","12157.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.741","0.159","-55.800","12090.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.532","0.162","-114.300","12015.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.458","0.165","-64.200","11950.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.390","0.168","-90.900","11873.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.202","0.170","-93.300","11802.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.205","0.173","-52.800","11732.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.050","0.176","-112.200","11654.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.950","0.179","-68.100","11589.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.918","0.182","-67.200","11514.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.757","0.184","-111.300","11445.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.709","0.187","-48.000","11383.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.637","0.189","-91.500","11312.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.480","0.192","-84.300","11254.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.489","0.195","-48.300","11192.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.333","0.197","-104.400","11127.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.246","0.200","-54.600","11072.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.251","0.204","-61.800","11008.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.065","0.207","-120.000","10945.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.085","0.210","-40.800","10886.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.025","0.214","-105.900","10815.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.896","0.218","-103.500","10750.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.956","0.222","-55.500","10684.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.882","0.226","-128.400","10607.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.805","0.230","-97.200","10540.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.893","0.234","-77.700","10468.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.807","0.238","-142.800","10390.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.778","0.242","-87.300","10321.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.883","0.247","-100.800","10247.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.772","0.251","-149.400","10169.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.808","0.255","-85.200","10101.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.875","0.260","-122.400","10027.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.775","0.264","-151.800","9950.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.812","0.269","-92.400","9883.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.883","0.273","-127.800","9808.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.779","0.277","-153.900","9731.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.819","0.282","-93.600","9663.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.908","0.286","-130.200","9588.3","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.794","0.291","-156.900","9509.5","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.830","0.295","-101.700","9438.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.904","0.299","-128.100","9363.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.807","0.304","-153.300","9282.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.802","0.308","-114.000","9207.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.890","0.313","-121.500","9132.5","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.806","0.317","-159.300","9050.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.772","0.322","-122.700","8970.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.854","0.326","-114.000","8896.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.804","0.330","-151.500","8813.7","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.758","0.335","-133.500","8730.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.808","0.339","-123.900","8653.7","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.801","0.344","-138.300","8572.7","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.763","0.348","-136.500","8486.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.775","0.353","-134.100","8404.0","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.783","0.358","-127.500","8324.6","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.791","0.362","-133.200","8237.4","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.763","0.367","-148.200","8149.1","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.768","0.371","-131.400","8066.6","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.811","0.376","-121.800","7982.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.805","0.381","-148.500","7892.0","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.770","0.385","-140.700","7801.9","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.788","0.390","-128.400","7716.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.829","0.394","-130.500","7628.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.791","0.399","-152.700","7535.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.764","0.404","-141.600","7446.5","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.787","0.408","-126.300","7387.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.843","0.413","-130.500","7321.9","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.797","0.417","-157.200","7235.7","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.764","0.422","-134.400","7161.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.817","0.427","-119.700","7090.6","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.846","0.431","-140.400","7016.9","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.805","0.436","-157.500","6944.2","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.780","0.441","-134.100","6874.0","8.000","9.000","6.452","4.304","0.232"
